season,week,date,title
1,1,2005-06-01,Round 1
1,2,2005-06-08,Round 2
1,3,2005-06-15,Round 3
1,4,2005-06-22,Round 4
1,5,2005-06-29,Round 5
1,6,2005-07-06,Season 1 Finale
1,7,,
1,8,,
1,9,,
1,10,,
1,11,,
2,1,2006-01-05,Round 1
2,2,2006-01-12,Round 2
2,3,2006-01-19,Round 3
2,4,2006-01-26,Round 4
2,5,2006-02-02,Round 5
2,6,2006-02-09,Round 6
2,7,2006-02-16,Round 7
2,8,2006-02-23,Final Round
2,9,2006-02-26,Season 2 Finale
2,10,,
2,11,,
3,1,2006-09-12,Round One
3,2,2006-09-19,Round Two
3,3,2006-09-26,Round Three
3,4,2006-10-03,Round Four
3,5,2006-10-10,Round Five
3,6,2006-10-17,Round Six
3,7,2006-10-24,Round Seven
3,8,2006-10-31,Round Eight
3,9,2006-11-07,Round Nine
3,10,2006-11-14,Final Round
3,11,2006-11-15,Season 3 Finale
4,1,2007-03-19,Body Movin
4,2,2007-03-26,Performance Show
4,3,2007-04-02,Performance Show
4,4,2007-04-09,Performance Show
4,5,2007-04-16,Performance Show
4,6,2007-04-23,Performance Show
4,7,2007-04-30,Performance Show
4,8,2007-05-07,Performance Show
4,9,2007-05-14,Performance Show
4,10,2007-05-21,Final Performance
4,11,2007-05-22,Season 4 Finale
5,1,2007-09-24,Season 5 Premiere
5,2,2007-09-25,Performance Show
5,3,2007-10-01,Performance Show 2
5,4,2007-10-08,Performance Show 3
5,5,2007-10-15,Performance Show 4
5,6,2007-10-22,Performance Show 5
5,7,2007-10-29,Performance Show 6
5,8,2007-11-05,Performance Show 7
5,9,2007-11-12,Performance Show 8
5,10,2007-11-19,Performance Show 9
5,11,2007-11-26,Performance Show 10
6,1,2008-03-17,Season 6 Premiere
6,2,2008-03-18,Episode 601A
6,3,2008-03-24,Episode 602
6,4,2008-03-25,Episode 602A
6,5,2008-03-31,Episode 603
6,6,2008-04-01,Episode 603A
6,7,2008-04-07,Episode 604
6,8,2008-04-08,Episode 604A
6,9,2008-04-14,Episode 605
