season,week,is_final,premise_type,n_contestants,contestants,has_hull,n_vertices,volume,relative_volume,diameter,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,dim_0_min,dim_0_max,dim_0_delta,dim_1_min,dim_1_max,dim_1_delta,dim_2_min,dim_2_max,dim_2_delta,dim_3_min,dim_3_max,dim_3_delta,dim_4_min,dim_4_max,dim_4_delta,dim_5_min,dim_5_max,dim_5_delta,dim_6_min,dim_6_max,dim_6_delta,dim_7_min,dim_7_max,dim_7_delta,dim_8_min,dim_8_max,dim_8_delta,dim_9_min,dim_9_max,dim_9_delta,dim_10_min,dim_10_max,dim_10_delta,dim_11_min,dim_11_max,dim_11_delta,dim_12_min,dim_12_max,dim_12_delta,dim_13_min,dim_13_max,dim_13_delta,dim_14_min,dim_14_max,dim_14_delta,dim_15_min,dim_15_max,dim_15_delta
1,2,False,RR_ELIM,6,John O'Hurley|Kelly Monaco|Evander Holyfield|Rachel Hunter|Joey McIntyre|Trista Sutter,True,59,0.0009036030665543,0.1084323679865118,0.986387855181,0.164315891481,0.195250018405,0.241809224701,0.16499378858,0.19483057925,0.038800497584,,,,,,,,,,,7.7019e-08,0.929167718042,0.929167641023,0.000126155864,0.914276435102,0.914150279238,0.002645971318,0.919486698269,0.916840726951,3.83331e-07,0.946416692194,0.946416308863,0.000333814321,0.921116679588,0.920782865267,2.74876e-07,0.228726331884,0.228726057008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,False,RR_ELIM,5,John O'Hurley|Kelly Monaco|Evander Holyfield|Rachel Hunter|Joey McIntyre,True,45,0.0142272712205283,0.3414545092926788,1.080348303498,0.208102493495,0.280360528425,0.080060851461,0.207409471691,0.224066654928,,,,,,,,,,,,5.975e-08,0.957577118595,0.957577058845,0.000362235558,0.981760449204,0.981398213646,4.3513e-07,0.475073492511,0.475073057381,1.916605e-06,0.97491979434,0.974917877735,2.59785e-07,0.965829527542,0.965829267757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,False,RR_ELIM,4,John O'Hurley|Kelly Monaco|Rachel Hunter|Joey McIntyre,True,27,0.0317792103685099,0.1906752622110593,1.140746883737,0.270523825196,0.270998387143,0.062367532254,0.396110255407,,,,,,,,,,,,,0.000253002868,0.985445213652,0.985192210784,0.000362015778,0.986306636858,0.98594462108,5.2419e-08,0.247266523805,0.247266471386,0.006519157844,0.992342459947,0.985823302103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,False,RR_ELIM,3,John O'Hurley|Kelly Monaco|Joey McIntyre,True,16,0.2399955656954864,0.4799911313909729,1.341060416021,0.333411220283,0.500002083104,0.166586696612,,,,,,,,,,,,,,3.40619e-07,0.999273945926,0.999273605307,0.00056025543,0.999396866812,0.998836611382,2.35515e-07,0.49971046982,0.499710234305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,True,RR_FINAL,2,John O'Hurley|Kelly Monaco,True,2,0.2490851946179218,0.2490851946179218,0.498170389236,0.249985087712,0.750014912288,,,,,,,,,,,,,,,1.367746e-06,0.499999224949,0.499997857203,0.500000775051,0.999998632254,0.499997857203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,False,RR_ELIM,10,Tatum O'Neal|Tia Carrere|George Hamilton|Lisa Rinna|Stacy Keibler|Jerry Rice|Giselle Fernandez|Master P|Drew Lachey|Kenny Mayne,True,121,6.77444e-11,2.45830754856e-05,0.765915570354,0.102061644631,0.10567163012,0.123468340452,0.112071088615,0.102379749733,0.103067345734,0.102214831023,0.123590086465,0.101870855226,0.023604428001,,,,,,,3.8526e-08,0.776016137015,0.776016098489,5.0287e-08,0.819020024992,0.819019974705,0.000120535786,0.760011191231,0.759890655445,7.28044e-07,0.775254389336,0.775253661292,1.40622e-07,0.76729224112,0.767292100498,9.99106e-07,0.769138921104,0.769137921998,1.19882e-07,0.792687293277,0.792687173395,6.8706623e-05,0.818712398582,0.818643691959,3.0615e-08,0.78097547882,0.780975448205,9.6348e-08,0.185491906051,0.185491809703,,,,,,,,,,,,,,,,,,
2,2,False,RR_ELIM,9,Tatum O'Neal|Tia Carrere|George Hamilton|Lisa Rinna|Stacy Keibler|Jerry Rice|Giselle Fernandez|Master P|Drew Lachey,True,105,2.4048393e-09,9.69631192064e-05,0.791030951865,0.028937363614,0.117774277225,0.117576279516,0.139997186581,0.113695849578,0.11461883644,0.113852541131,0.139909369158,0.113638296757,,,,,,,,8.3306e-08,0.209040947428,0.209040864122,4.86565e-07,0.825885858129,0.825885371564,1.4617e-06,0.851473174055,0.851471712355,0.0002048365,0.824958843759,0.824754007259,2.8849e-08,0.796306116465,0.796306087616,6.88583e-07,0.845930877999,0.845930189416,3.91342e-07,0.882602253591,0.882601862249,6.2001507e-05,0.821477868479,0.821415866972,1.96544e-07,0.82087773518,0.820877538636,,,,,,,,,,,,,,,,,,,,,
2,3,False,RR_ELIM,8,Tia Carrere|George Hamilton|Lisa Rinna|Stacy Keibler|Jerry Rice|Giselle Fernandez|Master P|Drew Lachey,True,96,5.55648283e-08,0.000280046734659,0.776662488839,0.120471269242,0.135000289327,0.134940057952,0.118289978443,0.161006830865,0.022499907466,0.189310157566,0.11848150914,,,,,,,,,3.83692e-07,0.845191047954,0.845190664262,0.000139628,0.868737489707,0.868597861707,0.000210636903,0.830890419599,0.830679782696,8.82467e-07,0.835215219212,0.835214336745,0.001745517726,0.907037443886,0.90529192616,7.3035e-08,0.173497256605,0.17349718357,0.00629506586,0.852316770476,0.846021704616,2.56289e-07,0.838613671388,0.838613415099,,,,,,,,,,,,,,,,,,,,,,,,
2,4,False,RR_ELIM,7,Tia Carrere|George Hamilton|Lisa Rinna|Stacy Keibler|Jerry Rice|Master P|Drew Lachey,True,81,2.1660667837e-06,0.001559568084268,0.93006604807,0.152148834174,0.192372181846,0.146720464723,0.146887437349,0.165870539227,0.049408737376,0.146591805305,,,,,,,,,,5.39317e-07,0.927330762184,0.927330222867,0.000228171433,0.909122403156,0.908894231723,8.1389e-08,0.903457525467,0.903457444078,7.3025e-07,0.885717848964,0.885717118714,5.25429e-07,0.905511278248,0.905510752819,7.7739e-08,0.375518828944,0.375518751205,3.20862e-07,0.916892796295,0.916892475433,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,False,RR_ELIM,6,Tia Carrere|George Hamilton|Lisa Rinna|Stacy Keibler|Jerry Rice|Drew Lachey,True,79,0.0018712359229817,0.2245483107578028,0.99678000479,0.060979025967,0.19073258388,0.175849338361,0.172602094061,0.227322049196,0.172514908534,,,,,,,,,,,1.25614e-07,0.460774687286,0.460774561672,2.9297e-08,0.939491645218,0.939491615921,2.68631e-07,0.957682014028,0.957681745397,8.7817e-08,0.945527050153,0.945526962336,0.000153115883,0.953164416397,0.953011300514,5.8864e-08,0.94439366441,0.944393605546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,False,RR_ELIM,5,George Hamilton|Lisa Rinna|Stacy Keibler|Jerry Rice|Drew Lachey,True,67,0.0084545179387978,0.2029084305311468,0.92225474276,0.066774590431,0.266828697652,0.199999985411,0.266511317703,0.199885408803,,,,,,,,,,,,1.77785e-07,0.320857800959,0.320857623174,0.00025798478,0.969250404473,0.968992419693,3.94684e-07,0.959622074625,0.959621679941,0.000136885491,0.964593012964,0.964456127473,1.07405e-07,0.95473211904,0.954732011635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,False,RR_ELIM,4,Lisa Rinna|Stacy Keibler|Jerry Rice|Drew Lachey,True,33,0.0573399118882276,0.3440394713293654,1.096250087555,0.095761655691,0.279160988516,0.345522723082,0.279554632711,,,,,,,,,,,,,3.9983e-08,0.331029705195,0.331029665212,1.73099e-07,0.997217748983,0.997217575884,0.000362225805,0.993543680123,0.993181454318,9.77453e-07,0.981935514837,0.981934537384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,True,RR_FINAL,3,Stacy Keibler|Jerry Rice|Drew Lachey,True,15,0.1531808322064791,0.3063616644129583,0.863578257487,0.111239841946,0.444120744104,0.44463941395,,,,,,,,,,,,,,4.60068e-07,0.333175967003,0.333175506935,0.001051182024,0.999651177425,0.998599995401,0.000294658035,0.998676381536,0.998381723501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,False,PP_ELIM,11,Harry Hamlin|Vivica A. Fox|Monique Coleman|Joey Lawrence|Mario Lopez|Emmitt Smith|Shanna Moakler|Willa Ford|Sara Evans|Jerry Springer|Tucker Carlson,True,131,2.4693e-12,8.9606430526e-06,0.802183221779,0.100025965052,0.095779437354,0.097346842978,0.095994275354,0.095498322701,0.095216365546,0.098516848112,0.095582600815,0.104249605406,0.101674604146,0.020115132537,,,,,,7.1568e-07,0.75753449698,0.7575337813,1.93695e-07,0.818720898073,0.818720704378,1.25261e-07,0.781890575115,0.781890449854,3.55836e-07,0.754995766626,0.75499541079,2.37916e-07,0.763475246975,0.763475009059,8.13785e-07,0.752047399319,0.752046585534,4.72981e-07,0.768289167709,0.768288694728,2.21813e-07,0.787010414965,0.787010193152,7.35749e-07,0.779351955815,0.779351220066,5.02328e-07,0.7991261806,0.799125678272,7.13e-10,0.105278849381,0.105278848668,,,,,,,,,,,,,,,
3,2,False,PP_ELIM,10,Harry Hamlin|Vivica A. Fox|Monique Coleman|Joey Lawrence|Mario Lopez|Emmitt Smith|Shanna Moakler|Willa Ford|Sara Evans|Jerry Springer,True,119,5.4601e-11,1.98136204579e-05,0.708831010416,0.115498845078,0.104595798229,0.101173974028,0.099652948453,0.115563034922,0.10443303498,0.011823325195,0.10696810982,0.115783938244,0.124506991051,,,,,,,0.004524975371,0.726064666984,0.721539691613,3.29883e-07,0.749679719724,0.749679389841,1.361228e-06,0.752841292985,0.752839931757,3.59653e-07,0.730003377821,0.730003018168,0.004420474602,0.780654981101,0.776234506499,9.35701e-07,0.803809812058,0.803808876357,8.1093e-08,0.076747424851,0.076747343758,9.7759e-07,0.760561156299,0.760560178709,0.004422829486,0.735742699233,0.731319869747,0.013060324061,0.764975697124,0.751915373063,,,,,,,,,,,,,,,,,,
3,3,False,PP_ELIM,9,Harry Hamlin|Vivica A. Fox|Monique Coleman|Joey Lawrence|Mario Lopez|Emmitt Smith|Willa Ford|Sara Evans|Jerry Springer,True,97,2.1547972e-09,8.68814228651e-05,0.795760123409,0.01448377927,0.112691794246,0.112747405146,0.125239100067,0.125273829947,0.139699028427,0.125159373335,0.115075793038,0.129629896524,,,,,,,,1.20586e-07,0.092979135266,0.09297901468,1.547547e-06,0.789578278324,0.789576730777,8.69789e-07,0.778759400449,0.77875853066,9.675219e-06,0.855909754599,0.85590007938,0.000107603921,0.78296270803,0.782855104109,0.014675427049,0.796019369597,0.781343942548,3.7353539e-05,0.832037080373,0.831999726834,2.918672e-06,0.786608151622,0.78660523295,0.005097690405,0.804348681143,0.799250990738,,,,,,,,,,,,,,,,,,,,,
3,4,False,PP_ELIM,8,Vivica A. Fox|Monique Coleman|Joey Lawrence|Mario Lopez|Emmitt Smith|Willa Ford|Sara Evans|Jerry Springer,True,83,8.57872958e-08,0.0004323679709957,0.832207593038,0.017621644525,0.141429595247,0.130401013413,0.126820831627,0.141678083391,0.128663167614,0.161609341686,0.151776322497,,,,,,,,,2.17196e-07,0.106805423148,0.106805205952,6.7359631e-05,0.810404970784,0.810337611153,4.89522e-07,0.817888210915,0.817887721393,2.50824e-07,0.83449090655,0.834490655726,0.000110126738,0.778338940449,0.778228813711,7.32952e-07,0.812892505321,0.812891772369,0.020310331086,0.889127463042,0.868817131956,0.01021550155,0.825431048164,0.815215546614,,,,,,,,,,,,,,,,,,,,,,,,
3,5,False,PP_MULTI,7,Monique Coleman|Joey Lawrence|Mario Lopez|Emmitt Smith|Willa Ford|Sara Evans|Jerry Springer,True,87,6.653428499e-07,0.0004790468519142,0.802326900832,0.181050051084,0.192065046968,0.181382811824,0.180996787957,0.029735132981,0.036643876467,0.198126292719,,,,,,,,,,0.00105195752,0.853238503957,0.852186546437,0.011943461927,0.885261415208,0.873317953281,3.5366752e-05,0.859445861126,0.859410494374,0.00067610696,0.865720120785,0.865044013825,2.3902e-08,0.142246429236,0.142246405334,1.630208e-06,0.156563293842,0.156561663634,0.016988701232,0.889580690045,0.872591988813,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,False,PP_ELIM,5,Monique Coleman|Joey Lawrence|Mario Lopez|Emmitt Smith|Jerry Springer,True,48,0.0079078835749226,0.1897892057981416,1.156576533301,0.241566743367,0.235764445139,0.237549557146,0.235239649978,0.04987960437,,,,,,,,,,,,7.42058e-07,0.971603286587,0.971602544529,2.084033e-06,0.981483686888,0.981481602855,1.817592e-06,0.982148669936,0.982146852344,8.69895e-07,0.96929602315,0.969295153255,6.1441e-08,0.218430056933,0.218429995492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,False,PP_ELIM,4,Monique Coleman|Joey Lawrence|Mario Lopez|Emmitt Smith,True,25,0.0363524430108475,0.2181146580650851,1.141156385992,0.064535246618,0.315961387225,0.303655399472,0.315847966685,,,,,,,,,,,,,4.3386e-08,0.254666454313,0.254666410927,3.848607e-06,0.993566431822,0.993562583215,4.038559e-06,0.995021780368,0.995017741809,2.070754e-06,0.995704719373,0.995702648619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,False,PP_ELIM,3,Joey Lawrence|Mario Lopez|Emmitt Smith,True,15,0.151458842866066,0.302917685732132,0.899990098813,0.110972441652,0.444447042245,0.444580516103,,,,,,,,,,,,,,2.67346e-07,0.332927209503,0.332926942157,0.000552314196,0.9996657618,0.999113447604,0.000306499122,0.999230664147,0.998924165025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,True,PP_FINAL,2,Mario Lopez|Emmitt Smith,True,2,0.2483113285076243,0.2483113285076243,0.496622657015,0.249982709844,0.750017290156,,,,,,,,,,,,,,,7.86926e-07,0.49999989223,0.499999105304,0.50000010777,0.999999213074,0.499999105304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,False,PP_ELIM,11,John Ratzenberger|Ian Ziering|Clyde Drexler|Laila Ali|Apolo Anton Ohno|Shandi Finnessey|Paulina Porizkova|Heather Mills|Billy Ray Cyrus|Joey Fatone|Leeza Gibbons,True,103,2.0222e-12,7.338097025e-06,0.812343151389,0.100965954989,0.097797850009,0.113203390716,0.091634573832,0.091778866455,0.105359874816,0.010286645477,0.09330598893,0.101096304411,0.093625374815,0.10094517555,,,,,,4.3155868e-05,0.743436010591,0.743392854723,6.628e-08,0.745384474116,0.745384407836,0.012367265999,0.658638826507,0.646271560508,7.808e-07,0.711166423368,0.711165642568,5.718e-08,0.731756762847,0.731756705667,0.004136879251,0.759907413229,0.755770533978,1.13874e-07,0.071173502722,0.071173388848,2.82855e-07,0.672822060403,0.672821777548,0.000243257139,0.766879755236,0.766636498097,2.20011e-07,0.682439631266,0.682439411255,0.000174897644,0.75597050341,0.755795605766,,,,,,,,,,,,,,,
4,3,False,PP_ELIM,10,John Ratzenberger|Ian Ziering|Clyde Drexler|Laila Ali|Apolo Anton Ohno|Shandi Finnessey|Heather Mills|Billy Ray Cyrus|Joey Fatone|Leeza Gibbons,True,120,3.29056e-11,1.19407779217e-05,0.734381441072,0.116020100156,0.102460716965,0.134623330302,0.111424875688,0.104711779428,0.011767078746,0.102840010237,0.111138589644,0.10233068792,0.102682830914,,,,,,,0.004757665026,0.761772542536,0.75701487751,5.77464e-07,0.722742678526,0.722742101062,0.023067277743,0.777439968583,0.75437269084,0.000277821854,0.782265426691,0.781987604837,6.39813e-07,0.724240538987,0.724239899174,2.43155e-07,0.082492280193,0.082492037038,1.9603e-08,0.779750810273,0.77975079067,0.000225244062,0.744147972686,0.743922728624,5.6225e-08,0.787030558983,0.787030502758,1.534184e-06,0.738394304279,0.738392770095,,,,,,,,,,,,,,,,,,
4,4,False,PP_ELIM,9,John Ratzenberger|Ian Ziering|Clyde Drexler|Laila Ali|Apolo Anton Ohno|Heather Mills|Billy Ray Cyrus|Joey Fatone|Leeza Gibbons,True,101,4.2908538e-09,0.0001730072234759,0.818571690043,0.13638057209,0.115698258121,0.141223452129,0.119211333059,0.114783097771,0.116801306158,0.119475937072,0.114576032864,0.021850010737,,,,,,,,5.6556329e-05,0.779659731181,0.779603174852,2.3632e-08,0.819453173824,0.819453150192,0.005483285381,0.831349793909,0.825866508528,2.45263e-07,0.829588025394,0.829587780131,1.704e-09,0.806774170956,0.806774169252,9.404e-09,0.782656426875,0.782656417471,3.86908e-07,0.880312576676,0.880312189768,2.5727e-08,0.784525287881,0.784525262154,6.9579e-08,0.113449820292,0.113449750713,,,,,,,,,,,,,,,,,,,,,
4,5,False,PP_ELIM,8,John Ratzenberger|Ian Ziering|Clyde Drexler|Laila Ali|Apolo Anton Ohno|Heather Mills|Billy Ray Cyrus|Joey Fatone,True,96,9.04569332e-08,0.0004559029434301,0.90203635223,0.145073353324,0.134711036543,0.033622470539,0.133122494343,0.132634100651,0.138543842276,0.14828606032,0.134006642005,,,,,,,,,2.95393e-07,0.890323633338,0.890323337945,1.20838e-07,0.903475976529,0.903475855691,1.49726e-07,0.16053144777,0.160531298044,2.05319e-07,0.854066987494,0.854066782175,1.22558e-07,0.901117145957,0.901117023399,1.0145e-08,0.885512583829,0.885512573684,1.08769e-07,0.860511027384,0.860510918615,1.170914e-06,0.88755775064,0.887556579726,,,,,,,,,,,,,,,,,,,,,,,,
4,6,False,PP_ELIM,7,John Ratzenberger|Ian Ziering|Laila Ali|Apolo Anton Ohno|Heather Mills|Billy Ray Cyrus|Joey Fatone,True,72,1.9387818525e-06,0.0013959229337794,0.894276213905,0.189989633823,0.161292315996,0.148374370638,0.148015182692,0.023903526175,0.178036392842,0.150388577834,,,,,,,,,,0.023809767966,0.91573993311,0.891930165144,6.97253e-07,0.885162367543,0.88516167029,1.40952e-06,0.866177554287,0.866176144767,7.71135e-07,0.871949141042,0.871948369907,1.23255e-07,0.131348155815,0.13134803256,0.011800003004,0.901157863589,0.889357860585,4.1256e-08,0.878441273136,0.87844123188,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,False,PP_ELIM,6,John Ratzenberger|Ian Ziering|Laila Ali|Apolo Anton Ohno|Billy Ray Cyrus|Joey Fatone,True,66,0.0009089496378653,0.109073956543831,0.920599815767,0.035729773755,0.187167779292,0.179855491562,0.186402239049,0.230893278311,0.179951438031,,,,,,,,,,,3.28023e-07,0.180410115112,0.180409787089,1.020334e-06,0.907696747365,0.907695727031,4.65832e-07,0.914801842747,0.914801376915,2.98875e-07,0.916917028642,0.916916729767,0.02281787758,0.957444566146,0.934626688566,1.1833e-08,0.915445543829,0.915445531996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,False,PP_ELIM,5,Ian Ziering|Laila Ali|Apolo Anton Ohno|Billy Ray Cyrus|Joey Fatone,True,62,0.0096495569544453,0.2315893669066872,1.160464150426,0.24753706124,0.234655528834,0.228199193717,0.057843540001,0.231764676207,,,,,,,,,,,,7.17619e-07,0.972452783777,0.972452066158,1.029794e-06,0.969702149381,0.969701119587,4.635e-08,0.986812135381,0.986812089031,1.378e-07,0.240953623766,0.240953485966,9.7165e-08,0.97298270613,0.972982608965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,False,PP_ELIM,4,Ian Ziering|Laila Ali|Apolo Anton Ohno|Joey Fatone,True,33,0.0374073185682044,0.2244439114092262,1.06862631433,0.063924197029,0.310579214323,0.314755177402,0.310741411247,,,,,,,,,,,,,1.55502e-07,0.252737887772,0.25273773227,3.350577e-06,0.992502056443,0.992498705866,1.7258844e-05,0.98935323655,0.989335977706,1.3646226e-05,0.994029259321,0.994015613095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,True,PP_FINAL,3,Laila Ali|Apolo Anton Ohno|Joey Fatone,True,9,0.0790752459996821,0.1581504919993642,0.69470838837,0.112951706804,0.608929768781,0.278118524415,,,,,,,,,,,,,,6.34061e-07,0.337940739297,0.337940105236,0.327460741235,0.999680181568,0.672219440333,5.8016491e-05,0.503317037806,0.503259021315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,False,PP_ELIM,12,Cameron Mathison|Jane Seymour|Sabrina Bryan|Jennie Garth|Floyd Mayweather Jr. |Josie Maran|Albert Reed|Helio Castroneves|Mel B|Wayne Newton|Marie Osmond|Mark Cuban,True,143,1.26e-14,5.044693851e-07,0.697275697532,0.08933375937,0.087444224178,0.08749323277,0.08958066237,0.095029584024,0.014404961157,0.089429846367,0.087636661677,0.087692230211,0.092780601611,0.089598158831,0.089576077434,,,,,1.46471e-07,0.726515718178,0.726515571707,3.89742e-07,0.678447033517,0.678446643775,6.55658e-07,0.783132265888,0.78313161023,1.35533e-07,0.71628820784,0.716288072307,2.0664e-08,0.692666087949,0.692666067285,1.908e-08,0.082151928151,0.082151909071,1.372369e-06,0.780502406656,0.780501034287,1.10085e-07,0.735823386298,0.735823276213,8.3163e-08,0.754533640692,0.754533557529,3.0835e-08,0.71247632917,0.712476298335,7.05995e-07,0.79977878281,0.799778076815,4.4055e-07,0.714445349401,0.714444908851,,,,,,,,,,,,
5,2,False,PP_ELIM,11,Cameron Mathison|Jane Seymour|Sabrina Bryan|Jennie Garth|Floyd Mayweather Jr. |Albert Reed|Helio Castroneves|Mel B|Wayne Newton|Marie Osmond|Mark Cuban,True,119,4.988e-13,1.8099771406e-06,0.672988841884,0.098499777394,0.098580545457,0.089001590756,0.098293809397,0.098548328922,0.009945766807,0.089015713407,0.092593268998,0.123595033278,0.091092229538,0.110833936046,,,,,,5.9314463e-05,0.670898741295,0.670839426832,0.000141586857,0.663727678353,0.663586091496,5.8289e-08,0.700278445386,0.700278387097,9.4660348e-05,0.730842469486,0.730747809138,7.5172276e-05,0.681811297747,0.681736125471,9.3942e-08,0.067279090859,0.067278996917,1.86325e-07,0.673480037293,0.673479850968,8.89917e-07,0.70347279188,0.703471901963,0.025269118597,0.77189365484,0.746624536243,5.56423e-07,0.677686771988,0.677686215565,0.012775023592,0.70748202153,0.694706997938,,,,,,,,,,,,,,,
5,3,False,PP_ELIM,10,Cameron Mathison|Jane Seymour|Sabrina Bryan|Jennie Garth|Floyd Mayweather Jr. |Helio Castroneves|Mel B|Wayne Newton|Marie Osmond|Mark Cuban,True,114,4.92183e-11,1.78603235949e-05,0.90613422566,0.110009490966,0.105860260275,0.106031446845,0.10661350401,0.114207633387,0.1084585717,0.106201841609,0.018985678271,0.106662637235,0.116968935703,,,,,,,1.40979e-07,0.757171300696,0.757171159717,1.05643e-06,0.812979319662,0.812978263232,1.7884e-08,0.749440467889,0.749440450005,8.43289e-07,0.80792850282,0.807927659531,4.44625e-07,0.818488012182,0.818487567557,2.81688e-07,0.814195987827,0.814195706139,1.46956e-07,0.778247293647,0.778247146691,1.50169e-07,0.103241385192,0.103241235023,8.65903e-07,0.815648153083,0.81564728718,1.335813e-06,0.793766612501,0.793765276688,,,,,,,,,,,,,,,,,,
5,4,False,PP_ELIM,9,Cameron Mathison|Jane Seymour|Sabrina Bryan|Jennie Garth|Floyd Mayweather Jr. |Helio Castroneves|Mel B|Marie Osmond|Mark Cuban,True,112,2.6112655e-09,0.0001052862243068,0.878956552686,0.120852734813,0.122232747654,0.117342399406,0.120518369139,0.016610273276,0.120865713037,0.122660529358,0.122239435329,0.136677797988,,,,,,,,4.56953e-07,0.815519611389,0.815519154436,4.75487e-07,0.809249600974,0.809249125487,3.20746e-07,0.784166743605,0.784166422859,1.159112e-06,0.838423631998,0.838422472886,1.52902e-07,0.104258360286,0.104258207384,7.9894e-08,0.84106403974,0.841063959846,7.54893e-07,0.815722793796,0.815722038903,2.94944e-07,0.81245610753,0.812455812586,0.004291694701,0.817183952474,0.812892257773,,,,,,,,,,,,,,,,,,,,,
5,5,False,PP_ELIM,8,Cameron Mathison|Jane Seymour|Sabrina Bryan|Jennie Garth|Helio Castroneves|Mel B|Marie Osmond|Mark Cuban,True,109,1.029738038e-07,0.0005189879712098,0.809030395146,0.136971002423,0.136803782798,0.133988287213,0.138582190796,0.144715651981,0.132978204619,0.153569560061,0.022391320109,,,,,,,,,1.405659e-06,0.870147827007,0.870146421348,4.196e-07,0.890334461068,0.890334041468,1.032984e-06,0.898588462157,0.898587429173,1.88427e-07,0.880667937809,0.880667749382,3.666492e-06,0.858072962562,0.85806929607,4.5063e-08,0.852377810159,0.852377765096,0.000317507116,0.870902041404,0.870584534288,2.45461e-07,0.125302839752,0.125302594291,,,,,,,,,,,,,,,,,,,,,,,,
5,6,False,PP_ELIM,7,Cameron Mathison|Jane Seymour|Sabrina Bryan|Jennie Garth|Helio Castroneves|Mel B|Marie Osmond,True,73,2.0472612273e-06,0.0014740280836417,0.875910827479,0.164577297969,0.181500884155,0.022285511162,0.155505144295,0.152539837345,0.147606822751,0.175984502323,,,,,,,,,,0.000206734157,0.859427963891,0.859221229734,0.016945565388,0.90523153115,0.888285965762,1.0752e-07,0.126485819746,0.126485712226,4.50691e-07,0.849285199288,0.849284748597,8.76908e-07,0.855862593249,0.855861716341,1.24795e-07,0.879421917781,0.879421792986,0.01128390287,0.861876935992,0.850593033122,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,False,PP_ELIM,6,Cameron Mathison|Jane Seymour|Jennie Garth|Helio Castroneves|Mel B|Marie Osmond,True,66,0.0007809280874581,0.0937113704949702,0.898863021854,0.19816886455,0.02933695042,0.192456496193,0.194336594591,0.190222727244,0.195478367002,,,,,,,,,,,7.557739e-06,0.944433056253,0.944425498514,8.4269e-08,0.164888817906,0.164888733637,2.077706e-06,0.946027219167,0.946025141461,9.92446e-07,0.924152754692,0.924151762246,3.88305e-07,0.921864132158,0.921863743853,1.589481e-06,0.936170605268,0.936169015787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,False,PP_ELIM,5,Cameron Mathison|Jennie Garth|Helio Castroneves|Mel B|Marie Osmond,True,54,0.0062333384092636,0.1496001218223258,1.090159323192,0.042025683725,0.248850553461,0.22664359504,0.229436410952,0.253043756822,,,,,,,,,,,,3.263e-09,0.19875022711,0.198750223847,0.004062884316,0.966139018728,0.962076134412,3.935805e-06,0.964644126846,0.964640191041,1.452883e-06,0.951138361762,0.951136908879,0.008054507398,0.957259979652,0.949205472254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,False,PP_ELIM,4,Jennie Garth|Helio Castroneves|Mel B|Marie Osmond,True,33,0.0356610180026063,0.2139661080156375,1.31325762833,0.06312081021,0.306208768559,0.307160857588,0.323509563642,,,,,,,,,,,,,3.32745e-07,0.250120703826,0.250120371081,1.112238e-05,0.983630543619,0.983619421239,4.152007e-06,0.984931661672,0.984927509665,0.009114190474,0.99469506364,0.985580873166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
