Season,EpisodeLabel,AirDate,ViewersMillions,Week,VoteCountMillions
1,"1 | ""Episode 101""","June 1, 2005",13.48,1,
1,"2 | ""Episode 102""","June 8, 2005",15.09,2,
1,"3 | ""Episode 103""","June 15, 2005",15.67,3,
1,"4 | ""Episode 104""","June 22, 2005",15.52,4,
1,"5 | ""Episode 105""","June 29, 2005",18.59,5,
1,"6 | ""Episode 106""","July 6, 2005",22.36,6,
1,"Special | ""Dance-Off Results Show""","September 22, 2005",10.48,,
1,"Special | ""Dance-Off""","September 20, 2005",10.91,,
2,"1 | ""Episode 201""","January 5, 2006",17.46,1,
2,"10 | ""Result Show 205A""","February 3, 2006",16.04,,
2,"11 | ""Episode 206""","February 9, 2006",19.96,6,
2,"12 | ""Result Show 206A""","February 10, 2006",14.59,,
2,"13 | ""Episode 207""","February 16, 2006",19.26,7,
2,"14 | ""Result Show 207A""","February 17, 2006",15.75,,
2,"15 | ""Episode 208""","February 23, 2006",17.7,8,
2,"16 | ""Episode 208A""","February 26, 2006",27.23,8,
2,"2 | ""Result Show 201A""","January 6, 2006",12.88,,
2,"3 | ""Episode 202""","January 12, 2006",17.36,2,
2,"4 | ""Result Show 202A""","January 13, 2006",13.66,,
2,"5 | ""Episode 203""","January 19, 2006",18.98,3,
2,"6 | ""Result Show 203A""","January 20, 2006",15.44,,
2,"7 | ""Episode 204""","January 26, 2006",19.37,4,
2,"8 | ""Result Show 204A""","January 27, 2006",14.0,,
2,"9 | ""Episode 205""","February 2, 2006",18.83,5,
3,"1 | ""Episode 301""","September 12, 2006",20.22,1,
3,"10 | ""Episode 305A""","October 11, 2006",18.21,,
3,"11 | ""Episode 306""","October 17, 2006",21.25,6,
3,"12 | ""Episode 306A""","October 18, 2006",19.23,,
3,"13 | ""Episode 307""","October 24, 2006",20.69,7,
3,"14 | ""Episode 307A""","October 25, 2006",20.02,,
3,"15 | ""Episode 308""","October 31, 2006",20.51,8,
3,"16 | ""Episode 308A""","November 1, 2006",19.22,,
3,"17 | ""Episode 309""","November 7, 2006",21.98,9,
3,"18 | ""Episode 309A""","November 8, 2006",20.68,,
3,"19 | ""Episode 310""","November 14, 2006",26.8,10,
3,"2 | ""Episode 301A""","September 13, 2006",16.3,,
3,"20 | ""Episode 310A""","November 15, 2006",27.51,,
3,"3 | ""Episode 302""","September 19, 2006",17.92,2,
3,"4 | ""Episode 302A""","September 20, 2006",14.79,,
3,"5 | ""Episode 303""","September 26, 2006",17.91,3,
3,"6 | ""Episode 303A""","September 27, 2006",15.81,,
3,"7 | ""Episode 304""","October 3, 2006",18.38,4,
3,"8 | ""Episode 304A""","October 4, 2006",17.49,,
3,"9 | ""Episode 305""","October 10, 2006",20.1,5,
4,"1 | ""Episode 401""","March 19, 2007",21.8,1,
4,"10 | ""Episode 406""","April 23, 2007",18.87,6,
4,"11 | ""Episode 406A""","April 24, 2007",16.56,,
4,"12 | ""Episode 407""","April 30, 2007",18.97,7,
4,"13 | ""Episode 407A""","May 1, 2007",16.26,,
4,"14 | ""Episode 408""","May 7, 2007",19.44,8,
4,"15 | ""Episode 408A""","May 8, 2007",16.86,,
4,"16 | ""Episode 409""","May 14, 2007",19.58,9,
4,"17 | ""Episode 409A""","May 15, 2007",18.44,,
4,"18 | ""Episode 410""","May 21, 2007",20.19,10,
4,"19 | ""Episode 410A""","May 22, 2007",22.96,,
4,"2 | ""Episode 402""","March 26, 2007",20.42,2,
4,"3 | ""Episode 402A""","March 27, 2007",17.93,,
4,"4 | ""Episode 403""","April 2, 2007",18.24,3,
4,"5 | ""Episode 403A""","April 3, 2007",14.99,,
4,"6 | ""Episode 404""","April 9, 2007",18.84,4,
4,"7 | ""Episode 404A""","April 10, 2007",17.32,,
4,"8 | ""Episode 405""","April 16, 2007",18.87,5,
4,"9 | ""Episode 405A""","April 17, 2007",16.54,,
5,"1 | ""Episode 501A""","September 24, 2007",21.25,1,
5,"10 | ""Episode 505""","October 22, 2007",21.37,5,
5,"11 | ""Episode 505A""","October 23, 2007",18.06,,
5,"12 | ""Episode 506""","October 29, 2007",21.43,6,
5,"13 | ""Episode 506A""","October 30, 2007",18.86,,
5,"14 | ""Episode 507""","November 5, 2007",20.47,7,
5,"15 | ""Episode 507A""","November 6, 2007",17.06,,
5,"16 | ""Episode 508""","November 12, 2007",21.81,8,
5,"17 | ""Episode 508A""","November 13, 2007",17.59,,
5,"18 | ""Episode 509""","November 19, 2007",22.85,9,
5,"19 | ""Episode 509A""","November 20, 2007",20.95,,
5,"2 | ""Episode 501B""","September 25, 2007",18.5,1,
5,"20 | ""Episode 510""","November 26, 2007",24.23,10,
5,"21 | ""Episode 510A""","November 27, 2007",24.87,,
5,"3 | ""Episode 501C""","September 26, 2007",16.81,1,
5,"4 | ""Episode 502""","October 1, 2007",20.21,2,
5,"5 | ""Episode 502A""","October 2, 2007",18.5,,
5,"6 | ""Episode 503""","October 8, 2007",19.62,3,
5,"7 | ""Episode 503A""","October 9, 2007",16.36,,
5,"8 | ""Episode 504""","October 15, 2007",19.4,4,
5,"9 | ""Episode 504A""","October 16, 2007",17.3,,
6,"1 | ""Episode 601""","March 17, 2008",21.15,1,
6,"10 | ""Episode 605A""","April 15, 2008",15.42,,
6,"11 | ""Episode 606""","April 21, 2008",18.04,6,
6,"12 | ""Episode 606A""","April 22, 2008",17.97,,
6,"13 | ""Episode 607""","April 28, 2008",18.22,7,
6,"14 | ""Episode 607A""","April 29, 2008",17.06,,
6,"15 | ""Episode 608""","May 5, 2008",18.1,8,
6,"16 | ""Episode 608A""","May 6, 2008",18.38,,
6,"17 | ""Episode 609""","May 12, 2008",18.47,9,
6,"18 | ""Episode 609A""","May 13, 2008",16.99,,
6,"19 | ""Episode 610""","May 19, 2008",19.22,10,
6,"2 | ""Episode 601A""","March 18, 2008",17.02,,
6,"20 | ""Episode 610A""","May 20, 2008",20.12,,
6,"3 | ""Episode 602""","March 24, 2008",20.51,2,
6,"4 | ""Episode 602A""","March 25, 2008",17.49,,
6,"5 | ""Episode 603""","March 31, 2008",20.56,3,
6,"6 | ""Episode 603A""","April 1, 2008",17.28,,
6,"7 | ""Episode 604""","April 7, 2008",19.68,4,
6,"8 | ""Episode 604A""","April 8, 2008",17.02,,
6,"9 | ""Episode 605""","April 14, 2008",17.2,5,
7,"1 | ""Episode 701""","September 22, 2008",21.34,1,
7,"10 | ""Episode 705""","October 20, 2008",18.5,5,
7,"11 | ""Episode 705A""","October 21, 2008",16.35,,
7,"12 | ""Episode 706""","October 27, 2008",18.88,6,
7,"13 | ""Episode 706A""","October 28, 2008",17.44,,
7,"14 | ""Episode 707""","November 3, 2008",17.09,7,
7,"15 | ""Episode 707A""","November 5, 2008",15.85,,
7,"16 | ""Episode 708""","November 10, 2008",18.69,8,
7,"17 | ""Episode 708A""","November 11, 2008",16.52,,
7,"18 | ""Episode 709""","November 17, 2008",19.63,9,
7,"19 | ""Episode 709A""","November 18, 2008",17.59,,
7,"2 | ""Episode 701A""","September 23, 2008",18.3,,
7,"20 | ""Episode 710""","November 24, 2008",21.09,10,
7,"21 | ""Episode 710A""","November 25, 2008",20.65,,
7,"3 | ""Episode 701B""","September 24, 2008",15.87,1,
7,"4 | ""Episode 702""","September 29, 2008",18.88,2,
7,"5 | ""Episode 702A""","September 30, 2008",15.49,,
7,"6 | ""Episode 703""","October 6, 2008",18.59,3,
7,"7 | ""Episode 703A""","October 7, 2008",15.05,,
7,"8 | ""Episode 704""","October 13, 2008",17.76,4,
7,"9 | ""Episode 704A""","October 14, 2008",14.82,,
8,"1 | ""Episode 801""","March 9, 2009",22.83,1,
8,"10 | ""Episode 806""","April 13, 2009",19.46,6,
8,"11 | ""Episode 806A""","April 14, 2009",15.24,,
8,"12 | ""Episode 807""","April 20, 2009",20.53,7,
8,"13 | ""Episode 807A""","April 21, 2009",14.72,,
8,"14 | ""Episode 808""","April 27, 2009",19.23,8,
8,"15 | ""Episode 808A""","April 28, 2009",14.72,,
8,"16 | ""Episode 809""","May 4, 2009",20.28,9,
8,"17 | ""Episode 809A""","May 5, 2009",14.56,,
8,"18 | ""Episode 810""","May 11, 2009",18.55,10,
8,"19 | ""Episode 810A""","May 12, 2009",14.06,,
8,"2 | ""Episode 802""","March 16, 2009",21.22,2,
8,"20 | ""Episode 811""","May 18, 2009",19.17,11,
8,"21 | ""Episode 811A""","May 19, 2009",20.31,,
8,"3 | ""Episode 802A""","March 17, 2009",12.74,,
8,"4 | ""Episode 803""","March 23, 2009",20.34,3,
8,"5 | ""Episode 803A""","March 24, 2009",16.12,,
8,"6 | ""Episode 804""","March 30, 2009",20.48,4,
8,"7 | ""Episode 804A""","March 31, 2009",13.51,,
8,"8 | ""Episode 805""","April 6, 2009",19.88,5,
