season,week,is_final,name,viewers_millions,votes_per_viewer,proportion,proportion_min,proportion_max,proportion_range,proportion_volume,proportion_relative_volume,proportion_relative_volume_root,proportion_volume_reduction,absolute,absolute_min,absolute_max,absolute_range
1,2,False,John O'Hurley,15.09,0.51,0.114835,0.001272,0.720792,0.719521,0.0008836216402374,0.106034596828484,0.638395,0.977887,890931,9865,5592161,5582296
1,2,False,Kelly Monaco,15.09,0.51,0.155917,0.005891,0.571477,0.565587,0.0008836216402374,0.106034596828484,0.638395,0.977887,1209657,45701,4433724,4388022
1,2,False,Evander Holyfield,15.09,0.51,0.400134,0.021505,0.475073,0.453568,0.0008836216402374,0.106034596828484,0.638395,0.977887,3104383,166844,3685789,3518944
1,2,False,Rachel Hunter,15.09,0.51,0.127705,0.001485,0.662592,0.661107,0.0008836216402374,0.106034596828484,0.638395,0.977887,990782,11519,5140622,5129103
1,2,False,Joey McIntyre,15.09,0.51,0.173565,0.012363,0.774044,0.76168,0.0008836216402374,0.106034596828484,0.638395,0.977887,1346580,95920,6005305,5909385
1,2,False,Trista Sutter,15.09,0.51,0.027844,0.000529,0.147883,0.147354,0.0008836216402374,0.106034596828484,0.638395,0.977887,216022,4102,1147327,1143225
1,3,False,John O'Hurley,15.67,0.51,0.216113,0.001272,0.764322,0.76305,0.0084893092368279,0.2037434216838694,0.671848,0.596693,1741124,10245,6157802,6147558
1,3,False,Kelly Monaco,15.67,0.51,0.302575,0.032286,0.71936,0.687074,0.0084893092368279,0.2037434216838694,0.671848,0.596693,2437713,260113,5795565,5535452
1,3,False,Evander Holyfield,15.67,0.51,0.062273,0.021505,0.396254,0.374749,0.0084893092368279,0.2037434216838694,0.671848,0.596693,501702,173257,3192443,3019186
1,3,False,Rachel Hunter,15.67,0.51,0.167505,0.001485,0.247267,0.245782,0.0084893092368279,0.2037434216838694,0.671848,0.596693,1349517,11962,1992116,1980155
1,3,False,Joey McIntyre,15.67,0.51,0.251534,0.012363,0.706012,0.693649,0.0084893092368279,0.2037434216838694,0.671848,0.596693,2026499,99607,5688028,5588421
1,4,False,John O'Hurley,15.52,0.51,0.243383,0.010969,0.843156,0.832187,0.0259979141849653,0.1559874851097915,0.538307,0.818079,1942059,87530,6727909,6640380
1,4,False,Kelly Monaco,15.52,0.51,0.334662,0.032286,0.851587,0.819301,0.0259979141849653,0.1559874851097915,0.538307,0.818079,2670414,257623,6795185,6537562
1,4,False,Rachel Hunter,15.52,0.51,0.060626,0.001485,0.214723,0.213239,0.0259979141849653,0.1559874851097915,0.538307,0.818079,483763,11847,1713372,1701525
1,4,False,Joey McIntyre,15.52,0.51,0.361329,0.083773,0.49971,0.415938,0.0259979141849653,0.1559874851097915,0.538307,0.818079,2883198,668460,3987407,3318947
1,5,False,John O'Hurley,18.59,0.51,0.275558,0.010969,0.499999,0.48903,0.0412582821212533,0.0825165642425067,0.287257,0.171913,2633735,104844,4778913,4674069
1,5,False,Kelly Monaco,18.59,0.51,0.39991,0.252244,0.502657,0.250413,0.0412582821212533,0.0825165642425067,0.287257,0.171913,3822280,2410907,4804319,2393412
1,5,False,Joey McIntyre,18.59,0.51,0.324532,0.083773,0.486373,0.4026,0.0412582821212533,0.0825165642425067,0.287257,0.171913,3101826,800688,4648678,3847990
1,6,True,John O'Hurley,22.36,0.51,0.248637,0.010969,0.499589,0.488619,0.2443096617524998,0.2443096617524998,0.24431,0.980828,2858363,126106,5743344,5617238
1,6,True,Kelly Monaco,22.36,0.51,0.751363,0.500411,0.989031,0.488619,0.2443096617524998,0.2443096617524998,0.24431,0.980828,8637781,5752800,11370038,5617238
2,1,False,Tatum O'Neal,17.46,0.51,0.11819,0.003245,0.209041,0.205795,3.32401e-11,1.20621591036e-05,0.284113,0.490669,1060973,29134,1876532,1847398
2,1,False,Tia Carrere,17.46,0.51,0.115132,9.8e-05,0.514111,0.514013,3.32401e-11,1.20621591036e-05,0.284113,0.490669,1033528,877,4615100,4614224
2,1,False,George Hamilton,17.46,0.51,0.123579,0.009313,0.44793,0.438617,3.32401e-11,1.20621591036e-05,0.284113,0.490669,1109356,83598,4021003,3937406
2,1,False,Lisa Rinna,17.46,0.51,0.101664,0.000279,0.424593,0.424314,3.32401e-11,1.20621591036e-05,0.284113,0.490669,912625,2501,3811513,3809013
2,1,False,Stacy Keibler,17.46,0.51,0.086002,0.000831,0.523253,0.522422,3.32401e-11,1.20621591036e-05,0.284113,0.490669,772025,7459,4697167,4689708
2,1,False,Jerry Rice,17.46,0.51,0.083509,0.000775,0.47317,0.472395,3.32401e-11,1.20621591036e-05,0.284113,0.490669,749650,6957,4247578,4240622
2,1,False,Giselle Fernandez,17.46,0.51,0.117741,0.001971,0.486826,0.484855,3.32401e-11,1.20621591036e-05,0.284113,0.490669,1056943,17690,4370168,4352478
2,1,False,Master P,17.46,0.51,0.135245,0.012973,0.45131,0.438337,3.32401e-11,1.20621591036e-05,0.284113,0.490669,1214079,116456,4051345,3934889
2,1,False,Drew Lachey,17.46,0.51,0.097506,0.001099,0.458367,0.457268,3.32401e-11,1.20621591036e-05,0.284113,0.490669,875294,9869,4114702,4104833
2,1,False,Kenny Mayne,17.46,0.51,0.021432,0.000139,0.093976,0.093837,3.32401e-11,1.20621591036e-05,0.284113,0.490669,192392,1248,843608,842360
2,2,False,Tatum O'Neal,17.36,0.51,0.023497,0.003245,0.118077,0.114832,1.3659765e-09,5.50761739897e-05,0.293508,0.568012,209720,28967,1053892,1024924
2,2,False,Tia Carrere,17.36,0.51,0.126493,0.002448,0.443996,0.441547,1.3659765e-09,5.50761739897e-05,0.293508,0.568012,1129011,21854,3962860,3941006
2,2,False,George Hamilton,17.36,0.51,0.105771,0.009313,0.541905,0.532593,1.3659765e-09,5.50761739897e-05,0.293508,0.568012,944054,83119,4836750,4753631
2,2,False,Lisa Rinna,17.36,0.51,0.139645,0.004905,0.477564,0.472659,1.3659765e-09,5.50761739897e-05,0.293508,0.568012,1246390,43781,4262475,4218693
2,2,False,Stacy Keibler,17.36,0.51,0.125684,0.000831,0.531031,0.530201,1.3659765e-09,5.50761739897e-05,0.293508,0.568012,1121789,7416,4739695,4732278
2,2,False,Jerry Rice,17.36,0.51,0.114675,0.001591,0.555689,0.554097,1.3659765e-09,5.50761739897e-05,0.293508,0.568012,1023524,14203,4959773,4945569
2,2,False,Giselle Fernandez,17.36,0.51,0.1021,0.001971,0.173497,0.171527,1.3659765e-09,5.50761739897e-05,0.293508,0.568012,911288,17588,1548541,1530953
2,2,False,Master P,17.36,0.51,0.166634,0.012973,0.540377,0.527404,1.3659765e-09,5.50761739897e-05,0.293508,0.568012,1487285,115789,4823106,4707317
2,2,False,Drew Lachey,17.36,0.51,0.095501,0.001099,0.552343,0.551244,1.3659765e-09,5.50761739897e-05,0.293508,0.568012,852389,9813,4929912,4920099
2,3,False,Tia Carrere,18.98,0.51,0.142106,0.002448,0.538216,0.535767,2.77644263e-08,0.0001399327086972,0.28146,0.499676,1386718,23893,5252098,5228205
2,3,False,George Hamilton,18.98,0.51,0.130838,0.009313,0.547363,0.538051,2.77644263e-08,0.0001399327086972,0.28146,0.499676,1276759,90876,5341364,5250488
2,3,False,Lisa Rinna,18.98,0.51,0.131751,0.004905,0.478684,0.473779,2.77644263e-08,0.0001399327086972,0.28146,0.499676,1285677,47867,4671166,4623299
2,3,False,Stacy Keibler,18.98,0.51,0.105757,0.001532,0.574961,0.573429,2.77644263e-08,0.0001399327086972,0.28146,0.499676,1032014,14951,5610672,5595721
2,3,False,Jerry Rice,18.98,0.51,0.131941,0.017214,0.559202,0.541988,2.77644263e-08,0.0001399327086972,0.28146,0.499676,1287524,167982,5456889,5288907
2,3,False,Giselle Fernandez,18.98,0.51,0.018803,0.001971,0.087072,0.085102,2.77644263e-08,0.0001399327086972,0.28146,0.499676,183488,19229,849684,830454
2,3,False,Master P,18.98,0.51,0.235661,0.027209,0.375519,0.34831,2.77644263e-08,0.0001399327086972,0.28146,0.499676,2299668,265515,3664446,3398931
2,3,False,Drew Lachey,18.98,0.51,0.103143,0.001099,0.550423,0.549324,2.77644263e-08,0.0001399327086972,0.28146,0.499676,1006507,10728,5371226,5360498
2,4,False,Tia Carrere,19.37,0.51,0.278722,0.004922,0.460775,0.455853,1.2030509953e-06,0.0008661967166114,0.308747,0.555408,2775758,49015,4588795,4539780
2,4,False,George Hamilton,19.37,0.51,0.204795,0.031926,0.634436,0.60251,1.2030509953e-06,0.0008661967166114,0.308747,0.555408,2039524,317947,6318261,6000314
2,4,False,Lisa Rinna,19.37,0.51,0.125037,0.004905,0.565756,0.560851,1.2030509953e-06,0.0008661967166114,0.308747,0.555408,1245228,48850,5634292,5585442
2,4,False,Stacy Keibler,19.37,0.51,0.124417,0.005086,0.608837,0.60375,1.2030509953e-06,0.0008661967166114,0.308747,0.555408,1239048,50655,6063323,6012668
2,4,False,Jerry Rice,19.37,0.51,0.115268,0.017214,0.550049,0.532835,1.2030509953e-06,0.0008661967166114,0.308747,0.555408,1147943,171434,5477870,5306437
2,4,False,Master P,19.37,0.51,0.057937,0.027209,0.1493,0.122091,1.2030509953e-06,0.0008661967166114,0.308747,0.555408,576991,270971,1486858,1215888
2,4,False,Drew Lachey,19.37,0.51,0.093824,0.003105,0.559087,0.555982,1.2030509953e-06,0.0008661967166114,0.308747,0.555408,934377,30921,5567875,5536954
2,5,False,Tia Carrere,18.83,0.51,0.058274,0.004922,0.25362,0.248699,0.001413100569443,0.1695720683331554,0.701247,0.75517,564165,47648,2455358,2407710
2,5,False,George Hamilton,18.83,0.51,0.207519,0.031926,0.320858,0.288932,0.001413100569443,0.1695720683331554,0.701247,0.75517,2009038,309083,3106299,2797217
2,5,False,Lisa Rinna,18.83,0.51,0.156735,0.004905,0.567883,0.562978,0.001413100569443,0.1695720683331554,0.701247,0.75517,1517384,47489,5497808,5450320
2,5,False,Stacy Keibler,18.83,0.51,0.185725,0.005086,0.567334,0.562248,0.001413100569443,0.1695720683331554,0.701247,0.75517,1798048,49243,5492493,5443250
2,5,False,Jerry Rice,18.83,0.51,0.243686,0.037419,0.699349,0.66193,0.001413100569443,0.1695720683331554,0.701247,0.75517,2359180,362261,6770565,6408304
