Season,EpisodeLabel,AirDate,ViewersMillions
1,"1 | ""Episode 101""","June 1, 2005",13.48
1,"2 | ""Episode 102""","June 8, 2005",15.09
1,"3 | ""Episode 103""","June 15, 2005",15.67
1,"4 | ""Episode 104""","June 22, 2005",15.52
1,"5 | ""Episode 105""","June 29, 2005",18.59
1,"6 | ""Episode 106""","July 6, 2005",22.36
1,"Special | ""Dance-Off Results Show""","September 22, 2005",10.48
1,"Special | ""Dance-Off""","September 20, 2005",10.91
2,"1 | ""Episode 201""","January 5, 2006",17.46
2,"10 | ""Result Show 205A""","February 3, 2006",16.04
2,"11 | ""Episode 206""","February 9, 2006",19.96
2,"12 | ""Result Show 206A""","February 10, 2006",14.59
2,"13 | ""Episode 207""","February 16, 2006",19.26
2,"14 | ""Result Show 207A""","February 17, 2006",15.75
2,"15 | ""Episode 208""","February 23, 2006",17.7
2,"16 | ""Episode 208A""","February 26, 2006",27.23
2,"2 | ""Result Show 201A""","January 6, 2006",12.88
2,"3 | ""Episode 202""","January 12, 2006",17.36
2,"4 | ""Result Show 202A""","January 13, 2006",13.66
2,"5 | ""Episode 203""","January 19, 2006",18.98
2,"6 | ""Result Show 203A""","January 20, 2006",15.44
2,"7 | ""Episode 204""","January 26, 2006",19.37
2,"8 | ""Result Show 204A""","January 27, 2006",14.0
2,"9 | ""Episode 205""","February 2, 2006",18.83
3,"1 | ""Episode 301""","September 12, 2006",20.22
3,"10 | ""Episode 305A""","October 11, 2006",18.21
3,"11 | ""Episode 306""","October 17, 2006",21.25
3,"12 | ""Episode 306A""","October 18, 2006",19.23
3,"13 | ""Episode 307""","October 24, 2006",20.69
3,"14 | ""Episode 307A""","October 25, 2006",20.02
3,"15 | ""Episode 308""","October 31, 2006",20.51
3,"16 | ""Episode 308A""","November 1, 2006",19.22
3,"17 | ""Episode 309""","November 7, 2006",21.98
3,"18 | ""Episode 309A""","November 8, 2006",20.68
3,"19 | ""Episode 310""","November 14, 2006",26.8
3,"2 | ""Episode 301A""","September 13, 2006",16.3
3,"20 | ""Episode 310A""","November 15, 2006",27.51
3,"3 | ""Episode 302""","September 19, 2006",17.92
3,"4 | ""Episode 302A""","September 20, 2006",14.79
3,"5 | ""Episode 303""","September 26, 2006",17.91
3,"6 | ""Episode 303A""","September 27, 2006",15.81
3,"7 | ""Episode 304""","October 3, 2006",18.38
3,"8 | ""Episode 304A""","October 4, 2006",17.49
