season,celebrity_name,season_start,season_end,geo,anchor,season_ratio_mean,season_ratio_max,season_ratio_std,baseline_ratio_mean,baseline_ratio_max,baseline_ratio_std,lift_mean_ratio
1,Evander Holyfield,2005-06-01,2005-07-06,US,Dancing with the Stars,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Joey McIntyre,2005-06-01,2005-07-06,US,Dancing with the Stars,0.01803537544049878,0.375,0.06618444442833178,0.0,0.0,0.0,0.01803537544049878
1,John O'Hurley,2005-06-01,2005-07-06,US,Dancing with the Stars,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Kelly Monaco,2005-06-01,2005-07-06,US,Dancing with the Stars,0.7740155857291303,1.7777777777777777,0.4780338833973323,0.1711111111111111,0.8555555555555555,0.3422222222222222,0.6029044746180192
1,Rachel Hunter,2005-06-01,2005-07-06,US,Dancing with the Stars,0.30384254278537304,1.8333333333333333,0.37224117337936297,0.2272727272727273,1.1363636363636365,0.4545454545454546,0.07656981551264574
1,Trista Sutter,2005-06-01,2005-07-06,US,Dancing with the Stars,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Drew Lachey,2006-01-05,2006-02-26,US,Dancing with the Stars,0.02230501207477273,0.12,0.03451601161342351,0.00909090909090909,0.32727272727272727,0.05378254348272379,0.013214102983863638
2,George Hamilton,2006-01-05,2006-02-26,US,Dancing with the Stars,0.033592292843859985,0.16666666666666666,0.04894833298359739,0.048749999999999995,1.0,0.19162816642306704,-0.01515770715614001
2,Giselle Fernandez,2006-01-05,2006-02-26,US,Dancing with the Stars,0.009410318284168433,0.125,0.025608093390390517,0.007936507936507936,0.2857142857142857,0.04695301415158425,0.0014738103476604966
2,Jerry Rice,2006-01-05,2006-02-26,US,Dancing with the Stars,0.06500733867811552,0.2,0.04882659579995574,0.1603784229754549,0.8904109589041096,0.2687648661535693,-0.09537108429733938
2,Kenny Mayne,2006-01-05,2006-02-26,US,Dancing with the Stars,0.006010637531170272,0.21428571428571427,0.03057003070425312,0.0,0.0,0.0,0.006010637531170272
2,Lisa Rinna,2006-01-05,2006-02-26,US,Dancing with the Stars,0.11266274151183563,0.45454545454545453,0.07010719375388327,0.06259920634920635,0.8571428571428571,0.19099721543317064,0.05006353516262928
2,Master P,2006-01-05,2006-02-26,US,Dancing with the Stars,0.042750013349862864,0.2,0.05167242680332594,0.08776455026455027,0.85,0.22933583241456731,-0.0450145369146874
2,Stacy Keibler,2006-01-05,2006-02-26,US,Dancing with the Stars,0.32134132053013525,0.75,0.1500328774504823,0.554830240493367,2.1739130434782608,0.45369062751097994,-0.2334889199632318
2,Tatum O'Neal,2006-01-05,2006-02-26,US,Dancing with the Stars,0.00031446540880503143,0.016666666666666666,0.002267642311612572,0.0,0.0,0.0,0.00031446540880503143
2,Tia Carrere,2006-01-05,2006-02-26,US,Dancing with the Stars,0.014935547384180674,0.125,0.028325949310668532,0.05556077633102387,0.6153846153846154,0.15976872631957775,-0.04062522894684319
3,Emmitt Smith,2006-09-12,2006-11-15,US,Dancing with the Stars,0.029606515149214602,0.25,0.05792610386598248,0.028520370370370373,1.0,0.14389083426160026,0.0010861447788442294
