date,Evander Holyfield,Joey McIntyre,John O'Hurley,Kelly Monaco,Dancing with the Stars,isPartial
2005-06-01,0,3,0,5,8,False
2005-06-02,0,0,0,10,45,False
2005-06-03,0,0,0,3,7,False
2005-06-04,0,0,0,0,0,False
2005-06-05,0,0,0,0,6,False
2005-06-06,0,0,0,4,11,False
2005-06-07,0,0,0,0,7,False
2005-06-08,0,0,0,0,10,False
2005-06-09,0,0,0,36,51,False
2005-06-10,0,0,0,21,19,False
2005-06-11,0,0,0,9,9,False
2005-06-12,0,0,0,6,10,False
2005-06-13,0,0,0,6,6,False
2005-06-14,0,0,0,5,9,False
2005-06-15,0,0,0,3,12,False
2005-06-16,0,6,0,29,62,False
2005-06-17,0,0,0,9,12,False
2005-06-18,0,0,0,0,12,False
2005-06-19,0,0,0,6,0,False
2005-06-20,0,0,0,6,7,False
2005-06-21,0,0,0,6,8,False
2005-06-22,0,0,0,9,19,False
2005-06-23,0,5,0,39,70,False
2005-06-24,0,0,0,17,19,False
2005-06-25,0,0,0,13,9,False
2005-06-26,0,0,0,10,7,False
2005-06-27,0,0,0,11,8,False
2005-06-28,0,0,0,18,15,False
2005-06-29,0,0,0,16,22,False
2005-06-30,0,7,0,66,100,False
2005-07-01,0,0,0,31,24,False
2005-07-02,0,0,0,24,17,False
2005-07-03,0,0,0,16,9,False
2005-07-04,0,0,0,13,16,False
2005-07-05,0,0,0,15,9,False
2005-07-06,0,0,0,32,35,False
