date,Rachel Hunter,Trista Sutter,Dancing with the Stars,isPartial
2005-06-01,10,0,8,False
2005-06-02,8,0,45,False
2005-06-03,3,0,7,False
2005-06-04,14,0,0,False
2005-06-05,11,0,6,False
2005-06-06,3,0,11,False
2005-06-07,0,0,7,False
2005-06-08,0,0,10,False
2005-06-09,9,0,51,False
2005-06-10,4,0,19,False
2005-06-11,0,0,9,False
2005-06-12,0,0,10,False
2005-06-13,0,0,6,False
2005-06-14,3,0,9,False
2005-06-15,5,0,12,False
2005-06-16,15,0,62,False
2005-06-17,5,0,12,False
2005-06-18,0,0,12,False
2005-06-19,0,0,0,False
2005-06-20,3,0,7,False
2005-06-21,0,0,8,False
2005-06-22,0,0,19,False
2005-06-23,20,0,70,False
2005-06-24,7,0,19,False
2005-06-25,0,0,9,False
2005-06-26,0,0,7,False
2005-06-27,4,0,8,False
2005-06-28,6,0,15,False
2005-06-29,6,0,22,False
2005-06-30,10,0,100,False
2005-07-01,9,0,24,False
2005-07-02,10,0,17,False
2005-07-03,6,0,9,False
2005-07-04,0,0,16,False
2005-07-05,4,0,9,False
2005-07-06,5,0,35,False
