date,Drew Lachey,George Hamilton,Giselle Fernandez,Jerry Rice,Dancing with the Stars,isPartial
2005-11-10,0,0,0,0,0,False
2005-11-11,0,0,0,0,0,False
2005-11-12,0,0,0,0,0,False
2005-11-13,0,24,0,33,0,False
2005-11-14,0,0,0,22,0,False
2005-11-15,0,0,0,0,0,False
2005-11-16,0,0,0,27,0,False
2005-11-17,0,0,0,0,0,False
2005-11-18,0,0,0,0,0,False
2005-11-19,0,0,0,0,0,False
2005-11-20,0,0,0,0,0,False
2005-11-21,0,0,0,17,33,False
2005-11-22,0,0,0,0,0,False
2005-11-23,0,0,0,0,29,False
2005-11-24,0,0,0,0,0,False
2005-11-25,0,26,0,0,26,False
2005-11-26,0,0,0,0,0,False
2005-11-27,0,0,0,0,0,False
2005-11-28,0,0,0,0,35,False
2005-11-29,0,0,0,0,24,False
2005-11-30,0,0,0,0,17,False
2005-12-01,0,0,0,0,0,False
2005-12-02,0,0,0,0,0,False
2005-12-03,0,0,0,0,0,False
2005-12-04,0,0,0,0,0,False
2005-12-05,0,13,0,15,100,False
2005-12-06,0,0,0,0,49,False
2005-12-07,0,0,0,13,37,False
2005-12-08,0,0,0,0,25,False
2005-12-09,18,0,0,0,55,False
2005-12-10,0,0,0,0,57,False
2005-12-11,0,0,0,0,43,False
2005-12-12,0,0,14,0,49,False
2005-12-13,0,0,0,15,30,False
2005-12-14,0,0,0,0,22,False
2005-12-15,0,0,0,0,40,False
2005-12-16,0,0,0,0,38,False
2005-12-17,0,0,0,0,23,False
2005-12-18,0,0,0,25,30,False
2005-12-19,0,0,0,0,29,False
2005-12-20,0,0,0,16,25,False
2005-12-21,0,0,0,0,37,False
2005-12-22,0,0,0,0,30,False
2005-12-23,0,0,0,0,19,False
2005-12-24,0,0,0,0,0,False
2005-12-25,0,0,0,0,48,False
2005-12-26,0,25,0,23,40,False
2005-12-27,0,0,0,0,36,False
2005-12-28,0,0,0,0,38,False
2005-12-29,0,0,0,0,25,False
2005-12-30,0,0,0,0,51,False
2005-12-31,0,0,0,0,39,False
2006-01-01,0,0,0,27,52,False
2006-01-02,0,0,0,65,73,False
2006-01-03,0,0,0,30,54,False
2006-01-04,0,0,0,19,78,False
