date,Kenny Mayne,Lisa Rinna,Master P,Stacy Keibler,Dancing with the Stars,isPartial
2006-01-05,3,1,0,8,14,False
2006-01-06,2,4,3,11,44,False
2006-01-07,0,2,1,5,45,False
2006-01-08,0,1,0,4,17,False
2006-01-09,1,1,0,3,17,False
2006-01-10,0,1,1,2,8,False
2006-01-11,0,1,1,2,6,False
2006-01-12,0,1,1,1,10,False
2006-01-13,0,3,2,14,40,False
2006-01-14,0,4,2,15,59,False
2006-01-15,0,2,2,4,20,False
2006-01-16,0,1,1,4,14,False
2006-01-17,0,2,1,3,9,False
2006-01-18,0,1,1,3,9,False
2006-01-19,0,1,0,3,10,False
2006-01-20,0,5,2,7,36,False
2006-01-21,0,5,2,8,68,False
2006-01-22,0,2,2,5,19,False
2006-01-23,0,2,1,3,16,False
2006-01-24,0,1,1,3,11,False
2006-01-25,0,0,1,3,7,False
2006-01-26,0,1,0,2,9,False
2006-01-27,0,6,2,8,45,False
2006-01-28,0,4,4,6,58,False
2006-01-29,0,1,1,3,20,False
2006-01-30,0,1,1,3,15,False
2006-01-31,0,1,1,2,9,False
2006-02-01,0,1,1,2,5,False
2006-02-02,0,1,0,3,8,False
2006-02-03,0,3,1,12,42,False
2006-02-04,0,3,0,13,50,False
2006-02-05,0,2,0,7,19,False
2006-02-06,0,1,1,6,19,False
2006-02-07,0,1,0,6,9,False
2006-02-08,0,1,0,4,6,False
2006-02-09,0,1,0,3,8,False
2006-02-10,0,4,0,14,40,False
2006-02-11,0,3,1,13,55,False
2006-02-12,0,2,0,6,18,False
2006-02-13,0,1,0,5,15,False
2006-02-14,0,1,0,4,9,False
2006-02-15,0,5,0,5,11,False
2006-02-16,0,3,0,9,13,False
2006-02-17,0,6,0,16,46,False
2006-02-18,0,7,0,14,77,False
2006-02-19,0,2,0,7,27,False
2006-02-20,0,3,0,8,23,False
2006-02-21,0,3,0,7,13,False
2006-02-22,0,2,1,6,8,False
2006-02-23,0,3,1,8,17,False
2006-02-24,0,3,0,17,100,False
2006-02-25,0,3,0,11,32,False
2006-02-26,0,2,0,11,25,False
