date,Tatum O'Neal,Tia Carrere,Dancing with the Stars,isPartial
2006-01-05,0,1,14,False
2006-01-06,0,2,44,False
2006-01-07,0,0,44,False
2006-01-08,0,0,18,False
2006-01-09,0,0,16,False
2006-01-10,0,0,8,False
2006-01-11,0,0,6,False
2006-01-12,0,0,10,False
2006-01-13,0,1,40,False
2006-01-14,1,2,60,False
2006-01-15,0,0,20,False
2006-01-16,0,0,14,False
2006-01-17,0,0,9,False
2006-01-18,0,0,9,False
2006-01-19,0,0,10,False
2006-01-20,0,2,36,False
2006-01-21,0,1,68,False
2006-01-22,0,0,19,False
2006-01-23,0,1,17,False
2006-01-24,0,0,11,False
2006-01-25,0,0,6,False
2006-01-26,0,0,9,False
2006-01-27,0,1,45,False
2006-01-28,0,0,57,False
2006-01-29,0,0,20,False
2006-01-30,0,1,15,False
2006-01-31,0,0,9,False
2006-02-01,0,0,6,False
2006-02-02,0,0,8,False
2006-02-03,0,1,41,False
2006-02-04,0,2,49,False
2006-02-05,0,1,19,False
2006-02-06,0,1,18,False
2006-02-07,0,0,9,False
2006-02-08,0,0,6,False
2006-02-09,0,1,8,False
2006-02-10,0,0,40,False
2006-02-11,0,0,55,False
2006-02-12,0,0,18,False
2006-02-13,0,0,15,False
2006-02-14,0,0,9,False
2006-02-15,0,1,10,False
2006-02-16,0,0,13,False
2006-02-17,0,0,45,False
2006-02-18,0,0,78,False
2006-02-19,0,0,27,False
2006-02-20,0,0,22,False
2006-02-21,0,0,13,False
2006-02-22,0,0,8,False
2006-02-23,0,0,17,False
2006-02-24,0,0,100,False
2006-02-25,0,0,32,False
2006-02-26,0,0,25,False
