date,Emmitt Smith,Harry Hamlin,Jerry Springer,Joey Lawrence,Dancing with the Stars,isPartial
2006-07-18,0,0,4,0,2,False
2006-07-19,0,0,2,0,2,False
2006-07-20,0,0,3,0,2,False
2006-07-21,0,0,2,0,0,False
2006-07-22,0,0,2,0,0,False
2006-07-23,0,0,0,0,2,False
2006-07-24,0,0,2,0,2,False
2006-07-25,0,0,2,0,2,False
2006-07-26,0,0,6,0,2,False
2006-07-27,0,0,3,0,0,False
2006-07-28,2,0,3,0,2,False
2006-07-29,0,0,0,0,0,False
2006-07-30,0,0,0,0,0,False
2006-07-31,0,0,3,0,2,False
2006-08-01,0,0,2,0,2,False
2006-08-02,0,0,2,0,3,False
2006-08-03,0,0,2,0,3,False
2006-08-04,0,0,3,0,2,False
2006-08-05,0,0,0,0,2,False
2006-08-06,0,0,2,0,0,False
2006-08-07,0,0,0,0,5,False
2006-08-08,0,0,2,0,8,False
2006-08-09,0,0,2,0,12,False
2006-08-10,0,0,0,0,8,False
2006-08-11,0,0,0,0,12,False
2006-08-12,0,0,0,0,7,False
2006-08-13,0,0,0,0,8,False
2006-08-14,2,3,3,2,100,False
2006-08-15,1,0,2,1,54,False
2006-08-16,0,0,2,0,27,False
2006-08-17,0,0,2,0,24,False
2006-08-18,0,0,2,2,15,False
2006-08-19,0,0,0,0,9,False
2006-08-20,0,0,3,0,12,False
2006-08-21,0,0,1,0,10,False
2006-08-22,0,0,2,2,12,False
2006-08-23,0,0,2,2,12,False
2006-08-24,0,0,1,2,9,False
2006-08-25,0,0,1,0,7,False
2006-08-26,0,0,0,0,6,False
2006-08-27,0,0,2,2,6,False
2006-08-28,0,0,0,0,7,False
2006-08-29,0,0,0,0,7,False
2006-08-30,0,0,1,0,9,False
2006-08-31,0,1,2,0,6,False
2006-09-01,0,0,3,0,5,False
2006-09-02,0,0,2,2,5,False
2006-09-03,0,0,0,0,9,False
2006-09-04,0,0,3,0,7,False
2006-09-05,0,0,0,0,8,False
2006-09-06,0,0,2,0,9,False
2006-09-07,0,0,1,0,8,False
2006-09-08,0,0,0,0,13,False
2006-09-09,2,0,0,0,10,False
2006-09-10,3,0,0,0,16,False
2006-09-11,0,0,2,2,17,False
