date,Mario Lopez,Monique Coleman,Sara Evans,Shanna Moakler,Dancing with the Stars,isPartial
2006-09-12,1,0,1,1,14,False
2006-09-13,5,1,2,3,43,False
2006-09-14,3,0,1,1,33,False
2006-09-15,1,0,1,1,8,False
2006-09-16,2,0,1,1,5,False
2006-09-17,1,0,1,1,4,False
2006-09-18,1,0,1,0,4,False
2006-09-19,1,0,1,1,6,False
2006-09-20,9,1,2,1,27,False
2006-09-21,4,0,1,2,30,False
2006-09-22,2,0,1,1,7,False
2006-09-23,2,0,1,0,4,False
2006-09-24,2,0,1,0,2,False
2006-09-25,1,0,1,0,3,False
2006-09-26,1,0,1,0,4,False
2006-09-27,10,1,2,1,32,False
2006-09-28,4,1,3,1,33,False
2006-09-29,1,0,2,0,8,False
2006-09-30,1,0,1,0,4,False
2006-10-01,1,0,1,0,4,False
2006-10-02,1,0,0,0,2,False
2006-10-03,1,0,1,0,5,False
2006-10-04,5,1,1,18,26,False
2006-10-05,3,0,2,12,32,False
2006-10-06,1,0,1,3,7,False
2006-10-07,1,0,1,2,4,False
2006-10-08,1,0,1,1,2,False
2006-10-09,1,0,1,1,3,False
2006-10-10,1,0,1,1,5,False
2006-10-11,6,1,2,1,25,False
2006-10-12,3,1,2,1,34,False
2006-10-13,2,0,42,1,38,False
2006-10-14,1,0,26,1,16,False
2006-10-15,1,0,11,1,10,False
2006-10-16,1,0,16,1,11,False
2006-10-17,1,0,15,1,12,False
2006-10-18,4,0,100,0,49,False
2006-10-19,4,0,27,1,37,False
2006-10-20,1,0,13,0,9,False
2006-10-21,1,0,12,0,6,False
2006-10-22,1,0,7,0,4,False
2006-10-23,1,0,7,0,3,False
2006-10-24,1,0,5,0,5,False
2006-10-25,3,1,5,0,24,False
2006-10-26,2,0,5,0,33,False
2006-10-27,1,0,5,0,8,False
2006-10-28,1,0,3,0,5,False
2006-10-29,1,0,2,0,4,False
2006-10-30,1,0,2,0,3,False
2006-10-31,1,0,2,0,5,False
2006-11-01,3,1,2,0,27,False
2006-11-02,2,2,2,0,41,False
2006-11-03,1,0,2,1,13,False
2006-11-04,1,0,2,1,8,False
2006-11-05,1,0,2,1,5,False
2006-11-06,0,0,2,1,4,False
2006-11-07,1,0,5,1,5,False
2006-11-08,4,0,3,1,34,False
2006-11-09,4,0,2,1,58,False
2006-11-10,1,0,1,0,13,False
2006-11-11,2,0,1,0,8,False
2006-11-12,1,0,1,0,5,False
2006-11-13,1,0,1,0,6,False
2006-11-14,2,0,1,0,11,False
2006-11-15,15,0,1,0,82,False
