date,Tucker Carlson,Vivica A. Fox,Willa Ford,Dancing with the Stars,isPartial
2006-09-12,1,0,1,17,False
2006-09-13,3,0,5,52,False
2006-09-14,4,0,2,40,False
2006-09-15,1,0,1,10,False
2006-09-16,1,0,1,7,False
2006-09-17,1,0,1,5,False
2006-09-18,1,0,0,5,False
2006-09-19,0,0,1,8,False
2006-09-20,1,0,5,33,False
2006-09-21,1,0,3,37,False
2006-09-22,0,0,1,9,False
2006-09-23,0,0,1,4,False
2006-09-24,0,0,0,3,False
2006-09-25,0,0,0,4,False
2006-09-26,0,0,0,5,False
2006-09-27,0,0,9,38,False
2006-09-28,0,0,5,40,False
2006-09-29,0,0,2,9,False
2006-09-30,0,0,1,5,False
2006-10-01,0,0,0,4,False
2006-10-02,0,0,1,3,False
2006-10-03,0,0,1,6,False
2006-10-04,0,0,6,31,False
2006-10-05,0,0,6,39,False
2006-10-06,0,0,1,9,False
2006-10-07,0,0,1,5,False
2006-10-08,0,0,0,3,False
2006-10-09,0,0,1,4,False
2006-10-10,0,0,1,6,False
2006-10-11,0,0,8,31,False
2006-10-12,0,0,11,42,False
2006-10-13,0,0,6,47,False
2006-10-14,0,0,3,20,False
2006-10-15,0,0,2,12,False
2006-10-16,0,0,2,14,False
2006-10-17,0,0,2,15,False
2006-10-18,0,0,2,60,False
2006-10-19,0,0,1,44,False
2006-10-20,0,0,1,10,False
2006-10-21,0,0,1,7,False
2006-10-22,0,0,1,4,False
2006-10-23,0,0,0,3,False
2006-10-24,0,0,0,6,False
2006-10-25,0,0,0,29,False
2006-10-26,0,0,1,40,False
2006-10-27,0,0,0,10,False
2006-10-28,0,0,0,6,False
2006-10-29,0,0,0,4,False
2006-10-30,0,0,0,4,False
2006-10-31,0,0,0,6,False
2006-11-01,0,0,1,33,False
2006-11-02,0,0,2,49,False
2006-11-03,0,0,1,16,False
2006-11-04,0,0,1,10,False
2006-11-05,0,0,0,6,False
2006-11-06,0,0,0,5,False
2006-11-07,0,0,0,6,False
2006-11-08,0,0,1,41,False
2006-11-09,0,0,1,70,False
2006-11-10,0,0,1,16,False
2006-11-11,0,0,1,9,False
2006-11-12,0,0,1,6,False
2006-11-13,0,0,0,7,False
2006-11-14,0,0,0,13,False
2006-11-15,0,0,1,100,False
