date,Apolo Anton Ohno,Billy Ray Cyrus,Clyde Drexler,Heather Mills,Dancing with the Stars,isPartial
2007-03-19,0,1,0,5,27,False
2007-03-20,2,4,3,17,87,False
2007-03-21,1,1,0,8,21,False
2007-03-22,0,1,0,5,10,False
2007-03-23,0,1,0,2,8,False
2007-03-24,0,1,0,2,5,False
2007-03-25,0,0,0,2,6,False
2007-03-26,0,1,0,2,12,False
2007-03-27,1,2,2,9,59,False
2007-03-28,1,1,1,6,87,False
2007-03-29,0,1,0,3,21,False
2007-03-30,0,0,0,2,9,False
2007-03-31,0,0,0,1,7,False
2007-04-01,0,1,0,1,7,False
2007-04-02,0,1,0,1,9,False
2007-04-03,1,1,1,7,47,False
2007-04-04,1,1,1,6,73,False
2007-04-05,0,1,0,2,20,False
2007-04-06,0,0,0,1,10,False
2007-04-07,0,0,0,2,8,False
2007-04-08,0,1,0,1,6,False
2007-04-09,0,0,0,1,8,False
2007-04-10,1,1,1,3,41,False
2007-04-11,1,1,1,2,70,False
2007-04-12,0,0,0,1,18,False
2007-04-13,0,1,0,1,8,False
2007-04-14,0,0,0,1,7,False
2007-04-15,0,1,0,1,5,False
2007-04-16,0,0,0,1,7,False
2007-04-17,1,1,1,5,44,False
2007-04-18,2,1,2,5,73,False
2007-04-19,1,0,0,1,21,False
2007-04-20,0,1,0,2,10,False
2007-04-21,0,0,0,2,7,False
2007-04-22,0,0,0,1,6,False
2007-04-23,0,0,0,1,8,False
2007-04-24,2,1,0,3,46,False
2007-04-25,1,1,0,6,62,False
2007-04-26,1,1,0,2,15,False
2007-04-27,0,1,0,1,9,False
2007-04-28,0,0,0,1,7,False
2007-04-29,0,1,0,1,5,False
2007-04-30,0,1,0,1,8,False
2007-05-01,2,2,0,2,43,False
2007-05-02,1,1,0,1,61,False
2007-05-03,0,1,0,1,17,False
2007-05-04,0,1,0,0,9,False
2007-05-05,0,1,0,0,6,False
2007-05-06,0,1,0,0,4,False
2007-05-07,0,0,0,0,8,False
2007-05-08,1,3,0,1,48,False
2007-05-09,2,4,0,1,72,False
2007-05-10,1,2,0,0,22,False
2007-05-11,0,1,0,0,11,False
2007-05-12,0,1,0,0,10,False
2007-05-13,0,1,0,0,7,False
2007-05-14,1,1,0,0,10,False
2007-05-15,2,0,0,0,71,False
2007-05-16,2,0,0,1,94,False
2007-05-17,1,0,0,0,27,False
2007-05-18,1,0,0,0,12,False
2007-05-19,0,1,0,0,8,False
2007-05-20,1,1,0,0,8,False
2007-05-21,1,0,0,0,21,False
2007-05-22,3,0,0,0,100,False
