date,Ian Ziering,Joey Fatone,John Ratzenberger,Laila Ali,Dancing with the Stars,isPartial
2007-03-19,1,0,1,1,27,False
2007-03-20,2,3,4,2,87,False
2007-03-21,0,1,0,1,21,False
2007-03-22,0,0,0,1,10,False
2007-03-23,0,0,0,0,8,False
2007-03-24,0,0,0,1,5,False
2007-03-25,0,0,0,0,6,False
2007-03-26,0,0,0,0,12,False
2007-03-27,2,2,1,3,59,False
2007-03-28,0,0,1,2,87,False
2007-03-29,0,0,0,1,21,False
2007-03-30,0,0,0,1,9,False
2007-03-31,0,0,0,1,7,False
2007-04-01,0,0,0,0,7,False
2007-04-02,0,0,0,0,9,False
2007-04-03,2,1,1,1,47,False
2007-04-04,1,1,1,1,73,False
2007-04-05,0,0,0,0,20,False
2007-04-06,0,0,0,0,10,False
2007-04-07,0,0,0,0,8,False
2007-04-08,0,0,0,0,6,False
2007-04-09,0,0,0,0,8,False
2007-04-10,1,2,0,1,41,False
2007-04-11,1,1,0,1,70,False
2007-04-12,1,0,0,0,18,False
2007-04-13,0,0,0,0,8,False
2007-04-14,0,0,0,0,7,False
2007-04-15,0,0,0,0,5,False
2007-04-16,0,0,0,0,7,False
2007-04-17,1,1,0,2,44,False
2007-04-18,1,1,1,1,73,False
2007-04-19,0,0,0,0,21,False
2007-04-20,0,0,0,0,10,False
2007-04-21,0,0,0,0,7,False
2007-04-22,0,0,0,0,6,False
2007-04-23,0,0,0,1,8,False
2007-04-24,1,1,0,3,46,False
2007-04-25,1,1,1,2,62,False
2007-04-26,0,0,0,1,15,False
2007-04-27,0,0,0,0,9,False
2007-04-28,0,0,0,0,7,False
2007-04-29,0,0,0,0,5,False
2007-04-30,0,0,0,0,8,False
2007-05-01,1,3,1,3,43,False
2007-05-02,1,1,2,2,61,False
2007-05-03,0,0,1,1,17,False
2007-05-04,0,0,0,0,9,False
2007-05-05,0,0,0,1,6,False
2007-05-06,0,0,0,0,4,False
2007-05-07,0,0,0,0,8,False
2007-05-08,1,1,0,3,48,False
2007-05-09,1,1,0,1,72,False
2007-05-10,0,0,0,1,22,False
2007-05-11,0,0,0,0,11,False
2007-05-12,0,0,0,0,10,False
2007-05-13,0,0,0,1,7,False
2007-05-14,0,1,0,0,10,False
2007-05-15,1,2,0,2,71,False
2007-05-16,4,3,0,2,94,False
2007-05-17,1,1,0,1,27,False
2007-05-18,0,1,0,1,12,False
2007-05-19,0,0,0,0,8,False
2007-05-20,0,0,0,1,8,False
2007-05-21,0,1,0,1,21,False
2007-05-22,0,4,0,3,100,False
