date,Leeza Gibbons,Paulina Porizkova,Shandi Finnessey,Dancing with the Stars,isPartial
2007-03-19,0,2,1,27,False
2007-03-20,4,3,2,87,False
2007-03-21,0,1,0,21,False
2007-03-22,0,0,0,10,False
2007-03-23,0,0,0,8,False
2007-03-24,0,0,0,5,False
2007-03-25,0,0,0,6,False
2007-03-26,1,0,0,12,False
2007-03-27,2,3,2,59,False
2007-03-28,1,10,3,87,False
2007-03-29,0,1,0,21,False
2007-03-30,0,0,0,9,False
2007-03-31,0,1,0,7,False
2007-04-01,1,0,0,7,False
2007-04-02,0,0,0,9,False
2007-04-03,1,0,1,47,False
2007-04-04,0,1,6,73,False
2007-04-05,0,0,1,20,False
2007-04-06,0,0,1,10,False
2007-04-07,0,0,0,8,False
2007-04-08,0,0,0,6,False
2007-04-09,0,0,1,8,False
2007-04-10,1,0,0,41,False
2007-04-11,6,1,1,70,False
2007-04-12,1,0,0,18,False
2007-04-13,1,0,0,8,False
2007-04-14,1,0,0,7,False
2007-04-15,0,0,0,5,False
2007-04-16,0,0,0,7,False
2007-04-17,0,0,0,44,False
2007-04-18,0,0,0,73,False
2007-04-19,0,1,0,21,False
2007-04-20,0,1,0,10,False
2007-04-21,0,0,0,7,False
2007-04-22,0,0,0,6,False
2007-04-23,0,1,0,8,False
2007-04-24,0,0,0,46,False
2007-04-25,0,0,0,62,False
2007-04-26,0,0,0,15,False
2007-04-27,0,0,0,9,False
2007-04-28,0,0,0,7,False
2007-04-29,0,0,0,5,False
2007-04-30,0,0,0,8,False
2007-05-01,0,0,0,43,False
2007-05-02,0,0,0,61,False
2007-05-03,0,0,0,17,False
2007-05-04,0,0,0,9,False
2007-05-05,0,0,0,6,False
2007-05-06,0,0,0,4,False
2007-05-07,0,0,0,8,False
2007-05-08,0,0,0,48,False
2007-05-09,0,0,0,72,False
2007-05-10,0,0,0,22,False
2007-05-11,0,0,0,11,False
2007-05-12,0,1,0,10,False
2007-05-13,2,0,0,7,False
2007-05-14,0,0,1,10,False
2007-05-15,0,0,0,71,False
2007-05-16,0,0,0,94,False
2007-05-17,0,0,0,27,False
2007-05-18,0,0,0,12,False
2007-05-19,1,0,0,8,False
2007-05-20,0,0,0,8,False
2007-05-21,0,0,0,21,False
2007-05-22,0,0,0,100,False
