date,Albert Reed,Cameron Mathison,Floyd Mayweather Jr.,Helio Castroneves,Dancing with the Stars,isPartial
2007-09-24,2,0,0,0,30,False
2007-09-25,5,1,0,0,62,False
2007-09-26,9,1,0,2,60,False
2007-09-27,5,1,0,1,75,False
2007-09-28,1,0,0,0,14,False
2007-09-29,1,0,0,0,10,False
2007-09-30,1,0,0,0,8,False
2007-10-01,0,0,0,0,12,False
2007-10-02,3,1,0,2,54,False
2007-10-03,7,0,0,2,75,False
2007-10-04,2,0,0,0,18,False
2007-10-05,1,0,0,1,9,False
2007-10-06,1,0,0,0,7,False
2007-10-07,0,0,0,0,6,False
2007-10-08,0,0,0,0,10,False
2007-10-09,1,0,0,1,38,False
2007-10-10,0,0,0,1,47,False
2007-10-11,0,0,0,0,13,False
2007-10-12,0,0,0,0,7,False
2007-10-13,0,0,0,0,6,False
2007-10-14,0,0,0,0,5,False
2007-10-15,0,0,0,0,6,False
2007-10-16,0,0,0,1,35,False
2007-10-17,0,1,0,0,52,False
2007-10-18,0,0,0,0,14,False
2007-10-19,0,0,0,0,7,False
2007-10-20,0,0,0,0,6,False
2007-10-21,0,0,0,0,6,False
2007-10-22,0,0,0,0,8,False
2007-10-23,0,1,0,2,69,False
2007-10-24,0,1,0,1,64,False
2007-10-25,0,0,0,0,17,False
2007-10-26,0,0,0,0,9,False
2007-10-27,0,0,0,0,7,False
2007-10-28,0,0,0,0,6,False
2007-10-29,0,0,0,0,8,False
2007-10-30,0,1,0,1,39,False
2007-10-31,0,1,0,0,100,False
2007-11-01,0,0,0,0,28,False
2007-11-02,0,0,0,0,12,False
2007-11-03,0,0,0,0,10,False
2007-11-04,0,0,0,0,6,False
2007-11-05,0,0,0,0,14,False
2007-11-06,0,1,0,1,68,False
2007-11-07,0,1,0,0,79,False
2007-11-08,0,0,0,0,25,False
2007-11-09,0,0,0,0,14,False
2007-11-10,0,0,0,0,12,False
2007-11-11,0,0,0,0,9,False
2007-11-12,0,0,0,0,10,False
2007-11-13,0,1,0,2,56,False
2007-11-14,0,4,0,2,73,False
2007-11-15,0,1,0,0,25,False
2007-11-16,0,0,0,0,12,False
2007-11-17,0,0,0,0,9,False
2007-11-18,0,0,0,1,7,False
2007-11-19,0,0,0,0,9,False
2007-11-20,0,0,0,4,64,False
2007-11-21,0,0,0,2,78,False
2007-11-22,0,0,0,1,24,False
2007-11-23,0,0,0,0,12,False
2007-11-24,0,0,0,0,11,False
2007-11-25,0,0,0,0,10,False
2007-11-26,0,0,0,0,15,False
