date,Jane Seymour,Jennie Garth,Josie Maran,Marie Osmond,Dancing with the Stars,isPartial
2007-09-24,1,1,1,1,30,False
2007-09-25,9,4,4,9,62,False
2007-09-26,3,2,3,4,60,False
2007-09-27,2,2,13,2,75,False
2007-09-28,1,0,2,1,14,False
2007-09-29,1,1,2,1,10,False
2007-09-30,0,0,1,1,8,False
2007-10-01,0,0,1,0,12,False
2007-10-02,7,3,1,6,54,False
2007-10-03,11,2,1,3,75,False
2007-10-04,1,1,1,1,18,False
2007-10-05,1,0,0,0,9,False
2007-10-06,1,0,0,1,7,False
2007-10-07,1,1,0,1,6,False
2007-10-08,1,0,0,0,10,False
2007-10-09,5,1,1,4,38,False
2007-10-10,2,1,1,2,47,False
2007-10-11,1,0,0,1,13,False
2007-10-12,1,0,0,1,7,False
2007-10-13,0,0,1,0,6,False
2007-10-14,0,0,0,0,5,False
2007-10-15,1,0,0,1,6,False
2007-10-16,2,2,0,3,35,False
2007-10-17,1,1,0,2,52,False
2007-10-18,0,0,0,1,14,False
2007-10-19,1,0,0,1,7,False
2007-10-20,1,0,0,1,6,False
2007-10-21,1,0,0,0,6,False
2007-10-22,1,0,0,1,8,False
2007-10-23,7,2,0,57,69,False
2007-10-24,3,1,0,19,64,False
2007-10-25,1,0,0,8,17,False
2007-10-26,1,0,0,4,9,False
2007-10-27,1,1,0,3,7,False
2007-10-28,1,0,0,2,6,False
2007-10-29,1,0,0,2,8,False
2007-10-30,5,2,1,5,39,False
2007-10-31,5,2,1,4,100,False
2007-11-01,2,0,0,2,28,False
2007-11-02,2,0,0,2,12,False
2007-11-03,1,0,0,2,10,False
2007-11-04,2,0,0,1,6,False
2007-11-05,1,0,0,1,14,False
2007-11-06,5,4,0,11,68,False
2007-11-07,7,2,0,15,79,False
2007-11-08,2,1,0,4,25,False
2007-11-09,1,1,1,7,14,False
2007-11-10,1,1,0,9,12,False
2007-11-11,0,0,0,4,9,False
2007-11-12,1,1,0,3,10,False
2007-11-13,1,3,0,6,56,False
2007-11-14,1,2,0,6,73,False
2007-11-15,0,0,0,18,25,False
2007-11-16,0,0,0,7,12,False
2007-11-17,1,1,0,4,9,False
2007-11-18,0,0,0,3,7,False
2007-11-19,0,1,0,4,9,False
2007-11-20,1,4,0,8,64,False
2007-11-21,0,10,0,7,78,False
2007-11-22,1,2,0,3,24,False
2007-11-23,1,1,0,3,12,False
2007-11-24,1,1,0,2,11,False
2007-11-25,1,1,0,1,10,False
2007-11-26,0,0,0,3,15,False
