date,Mark Cuban,Mel B,Sabrina Bryan,Wayne Newton,Dancing with the Stars,isPartial
2007-09-24,1,0,0,1,30,False
2007-09-25,6,1,3,6,62,False
2007-09-26,11,1,2,28,60,False
2007-09-27,6,0,4,7,75,False
2007-09-28,2,0,1,2,14,False
2007-09-29,1,0,1,1,10,False
2007-09-30,1,0,1,1,8,False
2007-10-01,1,0,0,1,12,False
2007-10-02,4,1,2,6,54,False
2007-10-03,4,0,2,5,75,False
2007-10-04,1,0,0,1,18,False
2007-10-05,1,0,0,1,9,False
2007-10-06,0,0,1,1,7,False
2007-10-07,1,0,0,1,6,False
2007-10-08,1,0,0,1,10,False
2007-10-09,5,1,1,4,38,False
2007-10-10,3,0,1,7,47,False
2007-10-11,2,0,0,2,13,False
2007-10-12,1,0,0,1,7,False
2007-10-13,1,0,0,0,6,False
2007-10-14,0,0,0,0,5,False
2007-10-15,1,0,0,1,6,False
2007-10-16,3,0,2,1,35,False
2007-10-17,3,0,2,3,52,False
2007-10-18,1,0,1,1,14,False
2007-10-19,1,0,0,1,7,False
2007-10-20,1,0,1,0,6,False
2007-10-21,1,0,0,0,6,False
2007-10-22,1,0,0,0,8,False
2007-10-23,4,0,3,1,69,False
2007-10-24,8,0,2,0,64,False
2007-10-25,3,0,0,0,17,False
2007-10-26,1,0,0,1,9,False
2007-10-27,0,0,0,0,7,False
2007-10-28,0,0,0,1,6,False
2007-10-29,1,0,0,0,8,False
2007-10-30,1,1,2,0,39,False
2007-10-31,1,1,22,0,100,False
2007-11-01,1,0,7,0,28,False
2007-11-02,0,0,3,0,12,False
2007-11-03,0,0,3,0,10,False
2007-11-04,0,0,2,1,6,False
2007-11-05,0,0,4,0,14,False
2007-11-06,1,2,5,0,68,False
2007-11-07,0,2,5,0,79,False
2007-11-08,1,0,3,0,25,False
2007-11-09,1,0,2,0,14,False
2007-11-10,1,0,1,0,12,False
2007-11-11,0,0,2,0,9,False
2007-11-12,1,0,1,0,10,False
2007-11-13,2,2,2,0,56,False
2007-11-14,2,1,2,0,73,False
2007-11-15,3,1,1,0,25,False
2007-11-16,1,0,1,1,12,False
2007-11-17,1,0,1,1,9,False
2007-11-18,0,0,1,1,7,False
2007-11-19,0,1,0,0,9,False
2007-11-20,1,2,1,1,64,False
2007-11-21,1,2,3,1,78,False
2007-11-22,1,1,1,0,24,False
2007-11-23,1,0,1,0,12,False
2007-11-24,1,0,1,1,11,False
2007-11-25,0,1,1,0,10,False
2007-11-26,1,1,1,0,15,False
