date,Adam Carolla,Cristian de la Fuente,Jason Taylor,Kristi Yamaguchi,Dancing with the Stars,isPartial
2008-01-21,1,0,1,0,3,False
2008-01-22,1,0,0,0,4,False
2008-01-23,1,0,1,0,3,False
2008-01-24,2,0,0,0,3,False
2008-01-25,1,0,0,0,3,False
2008-01-26,1,0,0,0,3,False
2008-01-27,1,0,0,0,4,False
2008-01-28,2,0,0,0,3,False
2008-01-29,1,0,0,0,3,False
2008-01-30,1,0,0,0,3,False
2008-01-31,1,0,0,0,3,False
2008-02-01,1,0,0,0,3,False
2008-02-02,0,0,0,0,3,False
2008-02-03,0,0,1,0,3,False
2008-02-04,1,0,1,0,3,False
2008-02-05,1,0,1,0,6,False
2008-02-06,1,0,1,0,3,False
2008-02-07,1,0,1,0,4,False
2008-02-08,1,0,0,0,3,False
2008-02-09,0,0,0,0,3,False
2008-02-10,1,0,0,0,3,False
2008-02-11,1,0,1,0,3,False
2008-02-12,1,0,1,0,6,False
2008-02-13,1,0,0,0,4,False
2008-02-14,1,0,1,0,4,False
2008-02-15,1,0,1,0,3,False
2008-02-16,1,0,0,0,5,False
2008-02-17,0,0,1,0,7,False
2008-02-18,2,0,0,0,21,False
2008-02-19,6,9,9,5,100,False
2008-02-20,3,2,3,1,38,False
2008-02-21,2,0,2,1,22,False
2008-02-22,2,1,1,0,15,False
2008-02-23,1,1,2,0,11,False
2008-02-24,0,0,1,0,9,False
2008-02-25,1,0,1,1,12,False
2008-02-26,1,0,0,0,9,False
2008-02-27,1,0,0,0,6,False
2008-02-28,1,0,1,0,6,False
2008-02-29,1,0,1,0,6,False
2008-03-01,1,0,1,0,6,False
2008-03-02,1,0,3,0,6,False
2008-03-03,1,0,1,0,8,False
2008-03-04,1,0,1,0,7,False
2008-03-05,1,0,0,0,8,False
2008-03-06,2,0,1,0,8,False
2008-03-07,1,0,1,0,6,False
2008-03-08,1,0,0,0,7,False
2008-03-09,1,0,0,0,6,False
2008-03-10,1,0,1,0,10,False
2008-03-11,1,0,1,0,13,False
2008-03-12,1,0,0,0,8,False
2008-03-13,1,0,1,0,8,False
2008-03-14,1,0,1,0,8,False
2008-03-15,0,0,0,0,7,False
2008-03-16,1,0,2,0,10,False
