date,Mario,Marissa Jaret Winokur,Marlee Matlin,Monica Seles,Dancing with the Stars,isPartial
2008-03-17,61,0,2,1,36,False
2008-03-18,68,1,3,4,88,False
2008-03-19,60,3,10,10,95,False
2008-03-20,58,1,2,2,36,False
2008-03-21,68,1,2,1,20,False
2008-03-22,84,0,1,1,15,False
2008-03-23,80,1,1,1,13,False
2008-03-24,56,1,1,1,21,False
2008-03-25,62,3,5,9,90,False
2008-03-26,63,2,3,15,100,False
2008-03-27,61,1,1,2,28,False
2008-03-28,64,0,1,1,15,False
2008-03-29,84,0,1,0,11,False
2008-03-30,82,0,0,0,10,False
2008-03-31,57,0,0,0,13,False
2008-04-01,57,2,3,1,65,False
2008-04-02,59,1,1,1,85,False
2008-04-03,60,0,1,0,27,False
2008-04-04,64,0,1,0,12,False
2008-04-05,86,0,1,0,10,False
2008-04-06,88,0,0,0,10,False
2008-04-07,56,0,0,0,11,False
2008-04-08,72,1,3,0,57,False
2008-04-09,62,0,2,0,73,False
2008-04-10,64,0,0,0,20,False
2008-04-11,66,0,0,0,14,False
2008-04-12,88,0,1,0,8,False
2008-04-13,87,1,0,0,8,False
2008-04-14,57,0,1,0,10,False
2008-04-15,60,1,2,0,59,False
2008-04-16,59,1,2,0,76,False
2008-04-17,62,0,1,0,22,False
2008-04-18,67,0,1,0,14,False
2008-04-19,94,0,1,0,14,False
2008-04-20,85,0,2,0,10,False
2008-04-21,61,0,2,0,12,False
