date,Penn Jillette,Priscilla Presley,Shannon Elizabeth,Steve Guttenberg,Dancing with the Stars,isPartial
2008-01-21,1,0,1,0,3,False
2008-01-22,0,0,1,0,4,False
2008-01-23,0,0,1,0,3,False
2008-01-24,0,0,0,0,3,False
2008-01-25,0,0,0,0,3,False
2008-01-26,0,0,1,0,3,False
2008-01-27,0,0,1,0,4,False
2008-01-28,0,0,1,0,3,False
2008-01-29,0,0,0,1,3,False
2008-01-30,0,0,1,0,3,False
2008-01-31,0,0,1,0,3,False
2008-02-01,0,0,1,0,3,False
2008-02-02,0,0,0,0,3,False
2008-02-03,0,0,0,0,3,False
2008-02-04,0,0,0,0,3,False
2008-02-05,0,0,0,0,6,False
2008-02-06,0,0,0,0,3,False
2008-02-07,0,1,0,1,4,False
2008-02-08,0,0,1,0,3,False
2008-02-09,0,0,1,0,3,False
2008-02-10,0,0,1,0,3,False
2008-02-11,0,0,1,0,3,False
2008-02-12,0,0,1,0,6,False
2008-02-13,0,0,1,0,4,False
2008-02-14,0,0,0,0,4,False
2008-02-15,0,0,0,0,3,False
2008-02-16,0,0,0,0,5,False
2008-02-17,0,0,2,0,7,False
2008-02-18,0,0,1,0,21,False
2008-02-19,3,9,13,4,100,False
2008-02-20,1,3,4,1,38,False
2008-02-21,0,2,2,1,22,False
2008-02-22,0,2,2,1,15,False
2008-02-23,0,1,3,0,11,False
2008-02-24,0,4,2,0,9,False
2008-02-25,0,1,2,1,12,False
2008-02-26,0,1,1,0,9,False
2008-02-27,0,1,1,0,6,False
2008-02-28,0,1,1,0,6,False
2008-02-29,0,0,1,0,6,False
2008-03-01,0,0,1,0,6,False
2008-03-02,0,1,1,0,6,False
2008-03-03,0,1,2,0,8,False
2008-03-04,0,1,1,0,7,False
2008-03-05,0,0,1,0,8,False
2008-03-06,0,1,1,0,8,False
2008-03-07,0,1,1,0,6,False
2008-03-08,0,2,1,0,7,False
2008-03-09,0,1,1,0,6,False
2008-03-10,0,1,1,0,10,False
2008-03-11,0,1,1,0,13,False
2008-03-12,0,1,1,0,8,False
2008-03-13,0,1,1,0,8,False
2008-03-14,0,2,1,0,8,False
2008-03-15,1,1,1,0,7,False
2008-03-16,0,1,2,0,10,False
