date,Brooke Burke,Cloris Leachman,Cody Linley,Jeffrey Ross,Dancing with the Stars,isPartial
2008-09-22,2,1,2,0,26,False
2008-09-23,14,11,3,1,84,False
2008-09-24,13,10,5,3,100,False
2008-09-25,7,5,2,1,61,False
2008-09-26,2,2,1,0,17,False
2008-09-27,3,1,1,0,10,False
2008-09-28,2,1,1,0,9,False
2008-09-29,2,1,0,0,10,False
2008-09-30,5,3,3,0,39,False
2008-10-01,4,2,2,0,49,False
2008-10-02,2,1,1,0,15,False
2008-10-03,1,0,1,0,7,False
2008-10-04,1,0,1,0,6,False
2008-10-05,2,0,1,0,7,False
2008-10-06,2,0,0,0,11,False
2008-10-07,7,3,1,0,32,False
2008-10-08,4,1,1,0,36,False
2008-10-09,2,0,0,0,13,False
2008-10-10,1,0,0,0,7,False
2008-10-11,1,1,0,0,6,False
2008-10-12,1,1,1,0,4,False
2008-10-13,2,0,1,0,6,False
2008-10-14,6,3,1,0,24,False
2008-10-15,5,2,1,0,31,False
2008-10-16,2,0,0,0,10,False
2008-10-17,1,0,0,0,6,False
2008-10-18,2,0,0,0,4,False
2008-10-19,1,0,1,0,4,False
2008-10-20,2,0,0,0,6,False
2008-10-21,9,2,1,0,26,False
