date,Kim Kardashian,Lance Bass,Maurice Greene,Misty May-Treanor,Dancing with the Stars,isPartial
2008-09-22,20,0,0,1,26,False
2008-09-23,27,2,0,1,84,False
2008-09-24,31,2,1,1,100,False
2008-09-25,22,1,0,0,61,False
2008-09-26,16,1,0,0,17,False
2008-09-27,20,0,0,0,10,False
2008-09-28,19,1,0,0,9,False
2008-09-29,13,0,0,0,10,False
2008-09-30,23,2,0,0,39,False
2008-10-01,35,1,0,0,49,False
2008-10-02,20,0,0,0,15,False
2008-10-03,14,0,0,0,7,False
2008-10-04,20,0,0,0,6,False
2008-10-05,19,0,0,1,7,False
2008-10-06,16,0,0,2,11,False
2008-10-07,27,1,0,3,32,False
2008-10-08,16,0,0,1,36,False
2008-10-09,12,0,0,0,13,False
2008-10-10,11,0,0,0,7,False
2008-10-11,15,0,0,0,6,False
2008-10-12,15,0,0,0,4,False
2008-10-13,14,0,0,0,6,False
2008-10-14,10,1,0,0,24,False
2008-10-15,10,1,0,0,31,False
2008-10-16,10,0,0,0,10,False
2008-10-17,10,0,0,0,6,False
2008-10-18,15,0,0,0,4,False
2008-10-19,14,0,0,0,4,False
2008-10-20,11,0,0,0,6,False
2008-10-21,10,1,0,0,26,False
