date,Rocco DiSpirito,Susan Lucci,Ted McGinley,Toni Braxton,Dancing with the Stars,isPartial
2008-09-22,1,1,0,1,26,False
2008-09-23,1,13,2,9,84,False
2008-09-24,3,6,3,5,100,False
2008-09-25,1,2,5,2,61,False
2008-09-26,0,1,1,1,17,False
2008-09-27,0,1,0,1,10,False
2008-09-28,0,1,0,1,9,False
2008-09-29,0,1,0,1,10,False
2008-09-30,1,5,0,3,39,False
2008-10-01,1,2,0,2,49,False
2008-10-02,0,1,0,1,15,False
2008-10-03,0,1,0,1,7,False
2008-10-04,0,1,0,1,6,False
2008-10-05,0,1,0,1,7,False
2008-10-06,0,1,0,0,11,False
2008-10-07,1,3,0,1,32,False
2008-10-08,1,2,0,1,36,False
2008-10-09,0,1,0,1,13,False
2008-10-10,0,1,0,0,7,False
2008-10-11,0,1,0,0,6,False
2008-10-12,0,1,0,0,4,False
2008-10-13,0,0,0,1,6,False
2008-10-14,1,2,0,2,24,False
2008-10-15,2,1,0,1,31,False
2008-10-16,0,1,0,0,10,False
2008-10-17,0,0,0,1,6,False
2008-10-18,0,0,0,1,4,False
2008-10-19,0,0,0,0,4,False
2008-10-20,0,0,0,1,6,False
2008-10-21,0,3,0,1,26,False
