season,celebrity_name,wiki_title,year,year_total,year_mean,year_peak,year_std,season_total,season_mean,season_peak,season_std,baseline_mean,lift,status
1,Evander Holyfield,Evander_Holyfield,2005,,,,,,,,,,,ok
1,Joey McIntyre,Joey_McIntyre,2005,,,,,,,,,,,ok
1,John O'Hurley,John_O'Hurley,2005,,,,,,,,,,,ok
1,Kelly Monaco,Kelly_Monaco,2005,,,,,,,,,,,ok
1,Rachel Hunter,Rachel_Hunter,2005,,,,,,,,,,,ok
1,Trista Sutter,Trista_Sutter,2005,,,,,,,,,,,ok
2,Drew Lachey,Drew_Lachey,2006,,,,,,,,,,,ok
2,George Hamilton,George_Hamilton_(actor),2006,,,,,,,,,,,ok
2,Giselle Fernandez,Giselle_Fernández,2006,,,,,,,,,,,ok
2,Jerry Rice,Jerry_Rice,2006,,,,,,,,,,,ok
2,Kenny Mayne,Kenny_Mayne,2006,,,,,,,,,,,ok
2,Lisa Rinna,Lisa_Rinna,2006,,,,,,,,,,,ok
2,Master P,Master_P,2006,,,,,,,,,,,ok
2,Stacy Keibler,Stacy_Keibler,2006,,,,,,,,,,,ok
2,Tatum O'Neal,Tatum_O'Neal,2006,,,,,,,,,,,ok
2,Tia Carrere,Tia_Carrere,2006,,,,,,,,,,,ok
3,Emmitt Smith,Emmitt_Smith,2006,,,,,,,,,,,ok
3,Harry Hamlin,Harry_Hamlin,2006,,,,,,,,,,,ok
3,Jerry Springer,Jerry_Springer,2006,,,,,,,,,,,ok
3,Joey Lawrence,Joey_Lawrence,2006,,,,,,,,,,,ok
3,Mario Lopez,Mario_Lopez,2006,,,,,,,,,,,ok
3,Monique Coleman,Monique_Coleman,2006,,,,,,,,,,,ok
3,Sara Evans,Sara_Evans,2006,,,,,,,,,,,ok
3,Shanna Moakler,Shanna_Moakler,2006,,,,,,,,,,,ok
3,Tucker Carlson,Tucker_Carlson,2006,,,,,,,,,,,ok
3,Vivica A. Fox,Vivica_A._Fox,2006,,,,,,,,,,,ok
3,Willa Ford,Willa_Ford,2006,,,,,,,,,,,ok
4,Apolo Anton Ohno,Apolo_Ohno,2007,,,,,,,,,,,ok
4,Billy Ray Cyrus,Billy_Ray_Cyrus,2007,,,,,,,,,,,ok
4,Clyde Drexler,Clyde_Drexler,2007,,,,,,,,,,,ok
4,Heather Mills,Heather_Mills,2007,,,,,,,,,,,ok
4,Ian Ziering,Ian_Ziering,2007,,,,,,,,,,,ok
4,Joey Fatone,Joey_Fatone,2007,,,,,,,,,,,ok
4,John Ratzenberger,John_Ratzenberger,2007,,,,,,,,,,,ok
4,Laila Ali,Laila_Ali,2007,,,,,,,,,,,ok
4,Leeza Gibbons,Leeza_Gibbons,2007,,,,,,,,,,,ok
4,Paulina Porizkova,Paulina_Porizkova,2007,,,,,,,,,,,ok
4,Shandi Finnessey,Shandi_Finnessey,2007,,,,,,,,,,,ok
5,Albert Reed,Albert_Edwin_Reed,2007,,,,,,,,,,,ok
5,Cameron Mathison,Cameron_Mathison,2007,,,,,,,,,,,ok
5,Floyd Mayweather Jr.,Floyd_Mayweather_Jr.,2007,,,,,,,,,,,ok
5,Helio Castroneves,Hélio_Castroneves,2007,,,,,,,,,,,ok
5,Jane Seymour,Jane_Seymour,2007,,,,,,,,,,,ok
5,Jennie Garth,Jennie_Garth,2007,,,,,,,,,,,ok
5,Josie Maran,Josie_Maran,2007,,,,,,,,,,,ok
5,Marie Osmond,Marie_Osmond,2007,,,,,,,,,,,ok
5,Mark Cuban,Mark_Cuban,2007,,,,,,,,,,,ok
5,Mel B,Mel_B,2007,,,,,,,,,,,ok
5,Sabrina Bryan,Sabrina_Bryan,2007,,,,,,,,,,,ok
5,Wayne Newton,Wayne_Newton,2007,,,,,,,,,,,ok
6,Adam Carolla,Adam_Carolla,2008,,,,,,,,,,,ok
6,Cristian de la Fuente,Cristián_de_la_Fuente,2008,,,,,,,,,,,ok
6,Jason Taylor,Jason_Taylor_(American_football),2008,,,,,,,,,,,ok
6,Kristi Yamaguchi,Kristi_Yamaguchi,2008,,,,,,,,,,,ok
6,Mario,Mario,2008,,,,,,,,,,,ok
6,Marissa Jaret Winokur,Marissa_Jaret_Winokur,2008,,,,,,,,,,,ok
6,Marlee Matlin,Marlee_Matlin,2008,,,,,,,,,,,ok
6,Monica Seles,Monica_Seles,2008,,,,,,,,,,,ok
6,Penn Jillette,Penn_Jillette,2008,,,,,,,,,,,ok
6,Priscilla Presley,Priscilla_Presley,2008,,,,,,,,,,,ok
6,Shannon Elizabeth,Shannon_Elizabeth,2008,,,,,,,,,,,ok
6,Steve Guttenberg,Steve_Guttenberg,2008,,,,,,,,,,,ok
7,Brooke Burke,Brooke_Burke,2008,,,,,,,,,,,ok
7,Cloris Leachman,Cloris_Leachman,2008,,,,,,,,,,,ok
7,Cody Linley,Cody_Linley,2008,,,,,,,,,,,ok
7,Jeffrey Ross,Jeff_Ross,2008,,,,,,,,,,,ok
7,Kim Kardashian,Kim_Kardashian,2008,,,,,,,,,,,ok
7,Lance Bass,Lance_Bass,2008,,,,,,,,,,,ok
7,Maurice Greene,Maurice_Greene_(fighter),2008,,,,,,,,,,,ok
7,Misty May-Treanor,Misty_May-Treanor,2008,,,,,,,,,,,ok
7,Rocco DiSpirito,Rocco_DiSpirito,2008,,,,,,,,,,,ok
7,Susan Lucci,Susan_Lucci,2008,,,,,,,,,,,ok
7,Ted McGinley,Ted_McGinley,2008,,,,,,,,,,,ok
7,Toni Braxton,Toni_Braxton,2008,,,,,,,,,,,ok
7,Warren Sapp,Warren_Sapp,2008,,,,,,,,,,,ok
8,Belinda Carlisle,Belinda_Carlisle,2009,,,,,,,,,,,ok
8,Chuck Wicks,Chuck_Wicks,2009,,,,,,,,,,,ok
8,David Alan Grier,David_Alan_Grier,2009,,,,,,,,,,,ok
8,Denise Richards,Denise_Richards,2009,,,,,,,,,,,ok
8,Gilles Marini,Gilles_Marini,2009,,,,,,,,,,,ok
8,Holly Madison,Holly_Madison,2009,,,,,,,,,,,ok
8,Lawrence Taylor,Lawrence_Taylor,2009,,,,,,,,,,,ok
8,Lil' Kim,Lil'_Kim,2009,,,,,,,,,,,ok
8,Melissa Rycroft,Melissa_Rycroft,2009,,,,,,,,,,,ok
8,Shawn Johnson,Shawn_Johnson_East,2009,,,,,,,,,,,ok
8,Steve Wozniak,Steve_Wozniak,2009,,,,,,,,,,,ok
8,Steve-O,Steve-O,2009,,,,,,,,,,,ok
8,Ty Murray,Ty_Murray,2009,,,,,,,,,,,ok
9,Aaron Carter,Aaron_Carter,2009,,,,,,,,,,,ok
9,Ashley Hamiliton,The_Secret_Storm,2009,,,,,,,,,,,ok
9,Chuck Liddell,Chuck_Liddell,2009,,,,,,,,,,,ok
9,Debi Mazar,Debi_Mazar,2009,,,,,,,,,,,ok
9,Donny Osmond,Donny_Osmond,2009,,,,,,,,,,,ok
9,Joanna Krupa,Joanna_Krupa,2009,,,,,,,,,,,ok
9,Kathy Ireland,Kathy_Ireland,2009,,,,,,,,,,,ok
9,Kelly Osbourne,Kelly_Osbourne,2009,,,,,,,,,,,ok
9,Louie Vito,Louie_Vito,2009,,,,,,,,,,,ok
9,Macy Gray,Macy_Gray,2009,,,,,,,,,,,ok
9,Mark Dacascos,Mark_Dacascos,2009,,,,,,,,,,,ok
9,Melissa Joan Hart,Melissa_Joan_Hart,2009,,,,,,,,,,,ok
9,Michael Irvin,Michael_Irvin,2009,,,,,,,,,,,ok
9,Mya,Mya_(singer),2009,,,,,,,,,,,ok
9,Natalie Coughlin,Natalie_Coughlin,2009,,,,,,,,,,,ok
9,Tom DeLay,Tom_DeLay,2009,,,,,,,,,,,ok
10,Aiden Turner,Aiden_Turner,2010,,,,,,,,,,,ok
10,Buzz Aldrin,Buzz_Aldrin,2010,,,,,,,,,,,ok
10,Chad Ochocinco,Chad_Johnson,2010,,,,,,,,,,,ok
10,Erin Andrews,Erin_Andrews,2010,,,,,,,,,,,ok
10,Evan Lysacek,Evan_Lysacek,2010,,,,,,,,,,,ok
10,Jake Pavelka,Jake_Pavelka,2010,,,,,,,,,,,ok
10,Kate Gosselin,Kate_Gosselin,2010,,,,,,,,,,,ok
10,Nicole Scherzinger,Nicole_Scherzinger,2010,,,,,,,,,,,ok
10,Niecy Nash,Niecy_Nash,2010,,,,,,,,,,,ok
10,Pamela Anderson,Pamela_Anderson,2010,,,,,,,,,,,ok
10,Shannen Doherty,Shannen_Doherty,2010,,,,,,,,,,,ok
